scope,asset,variant,rows,mse,residual_correlation
2020,GLD,static_ridge100,53,0.001036248450638173,
2020,GLD,raw_gbm2,53,0.001028692524837541,0.0973294387398701
2020,GLD,cal_gbm2,53,0.0010331188283903248,0.0973294387398701
2020,GLD,static_gbm2,53,0.00103667492011594,
2020,IWM,mean,53,0.0031709295812855534,
2020,IWM,raw_ridge100,53,0.0030377497575414373,0.2032815691689781
2020,IWM,cal_ridge100,53,0.0030610814235705274,0.2032815691689782
2020,IWM,static_ridge100,53,0.0031709056862576296,
2020,IWM,raw_gbm2,53,0.0030023279743853913,0.26103180524317104
2020,IWM,cal_gbm2,53,0.0031397168108821157,0.261031805243171
2020,IWM,static_gbm2,53,0.003171414300394178,
2020,EFA,mean,53,0.0019419319814476213,
2020,EFA,raw_ridge100,53,0.001826604836983933,0.282678532481394
2020,EFA,cal_ridge100,53,0.0018521117862964798,0.2826785324813941
2020,EFA,static_ridge100,53,0.0019419254120289255,
2020,EFA,raw_gbm2,53,0.0018073126738882867,0.28601013105179457
2020,EFA,cal_gbm2,53,0.001915883981384855,0.28601013105179457
2020,EFA,static_gbm2,53,0.0019422978064173831,
2020,EEM,mean,53,0.001484381304116368,
2020,EEM,raw_ridge100,53,0.00141089677450319,0.19817017395577996
2020,EEM,cal_ridge100,53,0.0014240085851948605,0.19817017395577988
2020,EEM,static_ridge100,53,0.0014842879401656872,
2020,EEM,raw_gbm2,53,0.0014264105515041947,0.17127888048842602
2020,EEM,cal_gbm2,53,0.0014708125741665057,0.1712788804884261
2020,EEM,static_gbm2,53,0.001485260638590394,
2020,IEF,mean,53,0.00010060217419861793,
2020,IEF,raw_ridge100,53,0.00010016944640034183,0.09730621338668352
2020,IEF,cal_ridge100,53,9.998850606601322e-05,0.09730621338668348
2020,IEF,static_ridge100,53,0.00010061490794099766,
2020,IEF,raw_gbm2,53,0.00010036342426872795,0.05110897166611372
2020,IEF,cal_gbm2,53,0.00010048288582732735,0.05110897166611363
2020,IEF,static_gbm2,53,0.00010058375048860533,
2020,TLT,mean,53,0.0010717979507432918,
2020,TLT,raw_ridge100,53,0.0010620482381419219,0.09422257382447018
2020,TLT,cal_ridge100,53,0.0010631748739930278,0.09422257382447012
2020,TLT,static_ridge100,53,0.0010717993632312695,
2020,TLT,raw_gbm2,53,0.0010497597862439974,0.1656689304196249
2020,TLT,cal_gbm2,53,0.0010677444465209851,0.1656689304196249
2020,TLT,static_gbm2,53,0.0010718889649052672,
2021,pooled,mean,416,0.0004294791278106967,
2021,pooled,raw_ridge100,416,0.00042723182810573825,0.0654428359720021
2021,pooled,cal_ridge100,416,0.00042723182810573825,0.0654428359720021
2021,pooled,static_ridge100,416,0.00042948171492313323,-0.005216321163671901
2021,pooled,raw_gbm2,416,0.0004241966670138466,0.1101630391802918
2021,pooled,cal_gbm2,416,0.0004241966670138466,0.1101630391802918
2021,pooled,static_gbm2,416,0.0004291570497470019,-0.007583482250657359
2021,SPY,mean,52,0.0003328336610668265,
2021,SPY,raw_ridge100,52,0.00033242947735199146,0.2899927339204449
2021,SPY,cal_ridge100,52,0.00033242947735199146,0.2899927339204449
2021,SPY,static_ridge100,52,0.00033283387041788636,
2021,SPY,raw_gbm2,52,0.0003343627708118417,0.2049018363974334
2021,SPY,cal_gbm2,52,0.0003343627708118417,0.2049018363974334
2021,SPY,static_gbm2,52,0.0003379830160990643,
2021,QQQ,mean,52,0.0007323605208057805,
2021,QQQ,raw_ridge100,52,0.0007142351746103159,0.22709153557538722
2021,QQQ,cal_ridge100,52,0.0007142351746103159,0.22709153557538722
2021,QQQ,static_ridge100,52,0.0007323611579413109,
2021,QQQ,raw_gbm2,52,0.0007200525129140507,0.15092729452947995
2021,QQQ,cal_gbm2,52,0.0007200525129140507,0.15092729452947995
2021,QQQ,static_gbm2,52,0.0007332541177661081,
2021,GLD,mean,52,0.0002407317796697927,
2021,GLD,raw_ridge100,52,0.0002469015397115412,-0.08674103756136269
2021,GLD,cal_ridge100,52,0.0002469015397115412,-0.08674103756136269
2021,GLD,static_ridge100,52,0.00024071959874533385,
2021,GLD,raw_gbm2,52,0.00024193001560465514,-0.053176522095107016
2021,GLD,cal_gbm2,52,0.00024193001560465514,-0.053176522095107016
2021,GLD,static_gbm2,52,0.00023911538134528462,
2021,IWM,mean,52,0.0009689538135817682,
2021,IWM,raw_ridge100,52,0.0009739086993970229,-0.010976196859439766
2021,IWM,cal_ridge100,52,0.0009739086993970229,-0.010976196859439766
2021,IWM,static_ridge100,52,0.0009689776491290916,
