anchor_ordinal,transition_id,anchor_timestamp,partition,prior_regime_label,current_regime_label,ordered_transition,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,controls_available,control_exclusion_reasons,forward_log_return_24h,outcome_available_24h,outcome_exclusion_reason_24h,forward_log_return_72h,outcome_available_72h,outcome_exclusion_reason_72h,forward_log_return_168h,outcome_available_168h,outcome_exclusion_reason_168h
73,963fac049d899981dc896bfbd5d66515b05278f1e6372de24b86b6acf04f468f,2020-03-15T21:00:00,1,TREND_DOWN,VOL_EXPANSION,TREND_DOWN -> VOL_EXPANSION,0.11378530219382156,0.021787176003976082,-0.33077999364345345,0.14964907456788204,0.44448595411084291,-0.57715409955561248,true,[],-0.17431350263010384,true,,-0.098592109583196544,true,,0.021700317996936579,true,
74,648fc6e4a031820509cb1eda92935f3d4aef939ecfe11f079a6667f944a3446a,2020-03-22T22:00:00,1,TREND_DOWN,VOL_EXPANSION,TREND_DOWN -> VOL_EXPANSION,-0.047710338778649448,-0.069329662888686708,0.094329038217635816,0.056787557509874201,0.233156463051264,0.29460481466925836,true,[],0.096296111118500921,true,,0.13109947373045522,true,,0.0064760706671546644,true,
75,1de5f92eff8e9e4ed4cb0f4846e26d2e3f6e066e65b3ebff5ce90feff9f59a60,2020-03-30T03:00:00,1,TREND_DOWN,VOL_COMPRESSION,TREND_DOWN -> VOL_COMPRESSION,-0.032887959749823246,-0.12480661761969156,0.0088906099290187359,0.040488303553612034,0.14736060466685788,-1.5164551168709166,true,[],0.069127414943194562,true,,0.095941734280268601,true,,0.13022001414558354,true,
76,18829adc6a5da51c06a3e4d105ebe3f8f3cfced5705e5198672091f50376692d,2020-04-06T07:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.03782150361138957,0.013968619118250739,0.11817474429409261,0.030432562834193939,0.10729353128885741,1.8173706782142005,true,[],0.048098402013978879,true,,0.041637392601226168,true,,-0.048516094884989883,true,
77,c57cdb9abf39f8147fa862a1d0cc8e580e6ac5e9ded33b42582959c679da6f7a,2020-04-13T08:00:00,1,TREND_DOWN,VOL_COMPRESSION,TREND_DOWN -> VOL_COMPRESSION,-0.018386581036092069,-0.030830271731406012,-0.049256272849246718,0.044007111176540867,0.086883408810239204,-1.7842580017263492,true,[],0.011774385445243726,true,,0.048588411759375498,true,,0.064316533622410327,true,
78,8ab59086999dacbfe45610cf544e46893da65455aae7b20357e55b1356a0c16a,2020-04-20T17:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.04100361259247904,-0.024291518482522152,0.017136824007468496,0.036755036872410551,0.077745930103186728,-0.7469629683995449,true,[],0.0033611234022762932,true,,0.093999570990036294,true,,0.1084210922436909,true,
79,74a1e66ea85a7e5f369a965536da0e79637fc358ff81765a3519684ab232cbfd,2020-04-29T16:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.10613251715646015,0.12752823381433129,0.18772410292536407,0.038447950880402863,0.074096226831106879,4.0021822941135916,true,[],0.010366405437921505,true,,0.043952900970722714,true,,0.075863102643851849,true,
80,763509a304207c7c14561547175fd7dcc43a3043d8c8217d275cf31777330d42,2020-05-06T23:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.013968105382246481,0.027217836252780646,0.040345224166912767,0.035375568270661129,0.1177829669769383,1.3868889713013997,true,[],0.088675513218235122,true,,0.040814523809863015,true,,0.017911346645304235,true,
81,08226f619ece2b3d76e505d88686a1180a71819e7ad1c96b7d7cc8a78b44ffe8,2020-05-14T09:00:00,2,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.094968342561385921,0.14505507486025124,0.050952079282448881,0.036556286254864893,0.14819641426634009,1.2000994565660454,true,[],-0.020104915282075527,true,,-0.033509312936889614,true,,-0.054853405521203068,true,
82,901df67cdac98d985e8882a49f30ec63ba1860df04917944e90b13a59d06808b,2020-05-21T14:00:00,2,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.073877306005956725,-0.06779118624759628,-0.068011614373469587,0.049391618124808197,0.093364518723243431,-3.3026453121435271,true,[],0.0067963495976879002,true,,0.00036593256447619156,true,,0.04303349171815208,true,
