policy,family,profile,band,role,scenario,period,first_date,last_date,days,total_return,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,comparator,base,2026,2026-01-01,2026-08-26,238,-0.037897860852594611,238,0,-0.057803465561255818,-0.35339886870204001,-0.16338867383582512,0.14008393811193939,-0.35377890158614927,-0.078940769827510485,0.96210213914740539,0.25963323081533485,5.7278332653190027,0.017183489143252541,-0.031013988235366385,224
state_rule_vol20_exact,state_rule,0.20000000000000001,0,comparator,base,full_forward,2025-01-01,2026-08-26,603,-0.0060399981223232535,603,0,-0.0036689980860671323,0.054629219086062275,-0.18834831021310516,0.15643387607919521,-0.019479856665110901,-0.028161475888929241,0.99396000187767675,0.26096894694678258,6.8185126607628392,0.020455532651902347,-0.040597438920181084,378
state_rule_vol20_exact,state_rule,0.20000000000000001,0,comparator,base,2025,2025-01-01,2025-12-31,365,0.022894705067905363,365,0,0.022974223307266062,0.21367520499126566,-0.1574714703493284,0.19197927495918718,0.14589451191572014,-0.014262852089803914,1.0228947050679054,0.36501486187599358,6.1339458354989631,0.018401835603600307,-0.040597438920181084,184
state_rule_vol20_exact,state_rule,0.20000000000000001,0,comparator,base,2026,2026-01-01,2026-08-26,238,-0.028287078862440862,238,0,-0.043259213939770613,-0.55418896759289493,-0.077034778268976645,0.074448926278464389,-0.5615543383369731,-0.049572737528686073,0.97171292113755914,0.10140273287467318,7.8986849690194409,0.023696044290019834,-0.012537117229345585,108
trend_vol20_band2,trend,0.20000000000000001,0.02,comparator,base,full_forward,2025-01-01,2026-08-26,603,-0.017570737668925585,167,436,-0.010697787829025085,0.0079780439681841082,-0.18216618773393611,0.15485548406103292,-0.058725430674598081,-0.034734887555111886,0.98242926233107442,0.26507804974475796,6.9795625484666539,0.020938689877468015,-0.039153317797498421,378
trend_vol20_band2,trend,0.20000000000000001,0.02,comparator,base,2025,2025-01-01,2025-12-31,365,0.0098965708094611582,142,223,0.0099307244814490492,0.14651788545151009,-0.15326869503591278,0.18970210478046146,0.064792908161201188,-0.026185581579071745,1.0098965708094612,0.37145919647676329,6.6367608239685376,0.019910290847607238,-0.039153317797498421,184
trend_vol20_band2,trend,0.20000000000000001,0.02,comparator,base,2026,2026-01-01,2026-08-26,238,-0.027198140158424366,25,213,-0.041606364618880232,-0.52623150323226708,-0.076250264892783415,0.075054927007809635,-0.54565534529464954,-0.047946130166529204,0.97280185984157563,0.10193049278180862,7.5355093428370381,0.022606520834205522,-0.012537117229345474,108
allocation_vol20_band2,allocation,0.20000000000000001,0.02,comparator,base,full_forward,2025-01-01,2026-08-26,603,-0.06433185175711198,220,383,-0.039541006743170293,-0.074680837378387377,-0.33681751762800616,0.21903371015671713,-0.11739593303113426,-0.088321270166123803,0.93566814824288802,0.3870380161641101,2.637712860862734,0.0079131219691639283,-0.060495316243775576,378
allocation_vol20_band2,allocation,0.20000000000000001,0.02,comparator,base,2025,2025-01-01,2025-12-31,365,-0.012039564704079186,126,239,-0.012080658617691364,0.044885215903241266,-0.18623113933224988,0.20728760243122885,-0.064869165602528978,-0.055148076393339837,0.98796043529592081,0.37003128909827865,2.1721292409446464,0.0065163834250459894,-0.04674142137250592,190
allocation_vol20_band2,allocation,0.20000000000000001,0.02,comparator,base,2026,2026-01-01,2026-08-26,238,-0.05292953562191105,94,144,-0.080393939723683139,-0.23572003118692231,-0.26134723174211894,0.23635180946703099,-0.30761351167863465,-0.13950612265616369,0.94707046437808895,0.41311976145414558,3.3639160275760118,0.010091712484050398,-0.060495316243775576,224
fixed_blend_vol20_band2,fixed_blend,0.20000000000000001,0.02,comparator,base,full_forward,2025-01-01,2026-08-26,603,-0.039088235823394268,167,436,-0.023901583474878585,-0.048171554429257038,-0.26211295790613753,0.17692016124441182,-0.09118810327354257,-0.055473634359141141,0.96091176417660573,0.32756321250903209,4.3846278869403035,0.0131538853241971,-0.039456693676473642,378
fixed_blend_vol20_band2,fixed_blend,0.20000000000000001,0.02,comparator,base,2025,2025-01-01,2025-12-31,365,-0.0017055514738224531,129,236,-0.0017114034353562513,0.089902233846636356,-0.16839512609810148,0.19760698978551847,-0.010163022380821424,-0.040807473812713449,0.99829444852617755,0.37133391887802308,4.198372833549513,0.012595124082104279,-0.039456693676473642,185
