asset,timeframe,target,model,year,observations,loss,constant_loss,skill_vs_constant,mean_prediction,mean_actual,metric
ETH,1,persistence,split_absolute,2020,303,0.2518335917049459,0.24890853464339027,-0.011751533814404302,0.44961462399272956,0.46534653465346537,Brier
ETH,1,persistence,split_absolute,2021,337,0.2525553762615661,0.24864203822848804,-0.015738843121459345,0.4505283254134037,0.4629080118694362,Brier
ETH,1,persistence,split_absolute,2022,326,0.24898424274129885,0.2471546559814289,-0.007402598800353655,0.45616834332876216,0.4447852760736196,Brier
ETH,1,persistence,split_absolute,2023,310,0.24870878024344398,0.248808330633558,0.00040010874981777356,0.46644630718278207,0.4645161290322581,Brier
ETH,1,persistence,split_absolute,2024,326,0.25229151895486596,0.25233633818327744,0.0001776170199431215,0.4616867380547662,0.5061349693251533,Brier
ETH,1,persistence,split_absolute,2025,317,0.24890182798970661,0.24890695443960964,2.0595848414739493e-05,0.46579593949096815,0.4668769716088328,Brier
ETH,1,persistence,split_relative,all,1919,0.25058831432898626,0.24912965296060513,-0.00585502910250435,0.4555565028451606,0.46847316310578424,Brier
ETH,1,persistence,split_relative,2020,303,0.25743750025952994,0.24890853464339027,-0.034265460717765484,0.4424667905542291,0.46534653465346537,Brier
ETH,1,persistence,split_relative,2021,337,0.24851940169609998,0.24864203822848804,0.0004932252537093174,0.46307300284079117,0.4629080118694362,Brier
ETH,1,persistence,split_relative,2022,326,0.24871121983233224,0.2471546559814289,-0.006297934565393293,0.45388846560597834,0.4447852760736196,Brier
ETH,1,persistence,split_relative,2023,310,0.24902699856999394,0.248808330633558,-0.0008788609926329016,0.4543409620778198,0.4645161290322581,Brier
ETH,1,persistence,split_relative,2024,326,0.25177018200497264,0.25233633818327744,0.0022436569476315116,0.4548291693628195,0.5061349693251533,Brier
ETH,1,persistence,split_relative,2025,317,0.24848286337994255,0.24890695443960964,0.001703813622330852,0.4637294707275484,0.4668769716088328,Brier
ETH,4,downside,boosted,all,2136,0.19530668598598677,0.208792195618196,0.06458818823319079,0.28311683702711526,0.2907303370786517,Brier
ETH,4,downside,boosted,2020,333,0.20824175328257177,0.20922500000000005,0.004699470509873516,0.3053257281661151,0.2972972972972973,Brier
ETH,4,downside,boosted,2021,365,0.24858964242772916,0.25907786328946875,0.04048289085208745,0.35081691039410934,0.4273972602739726,Brier
ETH,4,downside,boosted,2022,365,0.22385774254089078,0.2312409137432937,0.03192848135256532,0.32772601244319394,0.36164383561643837,Brier
ETH,4,downside,boosted,2023,354,0.11354335230022748,0.15555509665726822,0.27007629617951034,0.20520806195274796,0.11581920903954802,Brier
ETH,4,downside,boosted,2024,366,0.17494787767716444,0.18266986924285145,0.04227293531053533,0.22497949672569761,0.22950819672131148,Brier
ETH,4,downside,boosted,2025,353,0.20159210188470922,0.2136492205777673,0.0564341805715568,0.2844469683912409,0.3087818696883853,Brier
ETH,4,downside,constant,all,2136,0.208792195618196,0.208792195618196,0.0,0.3185574293822778,0.2907303370786517,Brier
ETH,4,downside,constant,2020,333,0.20922500000000005,0.20922500000000005,0.0,0.31500000000000006,0.2972972972972973,Brier
ETH,4,downside,constant,2021,365,0.25907786328946875,0.25907786328946875,0.0,0.30760986066452306,0.4273972602739726,Brier
ETH,4,downside,constant,2022,365,0.2312409137432937,0.2312409137432937,0.0,0.3420647149460709,0.36164383561643837,Brier
ETH,4,downside,constant,2023,354,0.15555509665726822,0.15555509665726822,0.0,0.34636199639206255,0.11581920903954802,Brier
ETH,4,downside,constant,2024,366,0.18266986924285145,0.18266986924285145,0.0,0.3058998512642539,0.22950819672131148,Brier
ETH,4,downside,constant,2025,353,0.2136492205777673,0.2136492205777673,0.0,0.29416701636592535,0.3087818696883853,Brier
ETH,4,downside,core_label,all,2136,0.19796808775168925,0.208792195618196,0.05184153475879938,0.3008627459324921,0.2907303370786517,Brier
ETH,4,downside,core_label,2020,333,0.2035739886878599,0.20922500000000005,0.02700925468820725,0.3010803040958884,0.2972972972972973,Brier
ETH,4,downside,core_label,2021,365,0.24705784222544885,0.25907786328946875,0.046395399867065756,0.3455527202459271,0.4273972602739726,Brier
ETH,4,downside,core_label,2022,365,0.22405166168045584,0.2312409137432937,0.03108987915010064,0.3323500218678925,0.36164383561643837,Brier
ETH,4,downside,core_label,2023,354,0.12412236441716774,0.15555509665726822,0.20206816051392806,0.24883725576546684,0.11581920903954802,Brier
ETH,4,downside,core_label,2024,366,0.17849617119025213,0.18266986924285145,0.022848311382161035,0.2824765765495852,0.22950819672131148,Brier
ETH,4,downside,core_label,2025,353,0.2091949365993939,0.2136492205777673,0.020848585201143188,0.2931268204481723,0.3087818696883853,Brier
ETH,4,downside,full_linear,all,2136,0.19311886204474854,0.208792195618196,0.07506666390015948,0.2835083741463676,0.2907303370786517,Brier
