scenario,level,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
double_moves,2x,2023,250,-0.04421932888459137,-0.014767077287737141,0.1401243533362521,5.057574670316561,0.6228881370010864,0.3771118629989139,-0.024255836969890976,-0.10099395532725564,-0.08172584579712683
double_moves,2x,2024,252,0.10765493769199945,0.1497548048755002,0.16753082737912395,4.708468882798334,0.8214464245293643,0.17855357547063563,0.1453645774948702,-0.09807599169881864,-0.07296308183102962
double_moves,2x_cashcap,excluding_2020,1487,0.07740658660785424,0.1460487064490537,0.21391917452034617,26.08690957369455,0.7617808287189609,0.23821917128103928,,,
double_moves,2x_cashcap,2018,230,-0.14551716847528984,-0.08949941399583922,0.19324898357550832,4.8791639093521475,0.7109416465786679,0.2890583534213322,-0.10253423721603816,-0.16523971965063844,-0.1259920026234188
double_moves,2x_cashcap,2019,252,0.170377850890006,0.18870969065950383,0.11054965632238996,4.549484052163626,0.8154436713643819,0.18455632863561822,0.20030298873175467,-0.05993635868578051,-0.03496471007584401
double_moves,2x_cashcap,2020,253,0.2654109936870926,0.3181026936542459,0.18742411792003247,3.6815166857974244,0.8647702941696758,0.13522970583032437,0.3503484053186994,-0.20159020543495088,-0.15681424613034578
double_moves,2x_cashcap,2021,252,0.3157212380591175,0.4146673292924776,0.2568346955188105,2.7449414077568677,0.9636504471119977,0.036349552888002304,0.4641625981658435,-0.1265820126398961,-0.12328518692285773
double_moves,2x_cashcap,2022,251,0.03940038841454646,0.20582406842308482,0.3330902580468127,4.14727665130702,0.6302520418497294,0.3697479581502707,0.1617991756153052,-0.25358547839912493,-0.21908764955278526
double_moves,2x_cashcap,2023,250,-0.04421932888459109,-0.014767077287736805,0.1401243533362522,5.057574670316559,0.6228881370010864,0.3771118629989139,-0.024255836969890976,-0.10099395532725519,-0.08172584579712683
double_moves,2x_cashcap,2024,252,0.10765493769200087,0.14975480487550175,0.16753082737912423,4.708468882798333,0.8214464245293643,0.1785535754706357,0.1453645774948713,-0.09807599169881931,-0.07296308183103029
double_moves,3x,excluding_2020,1487,0.04743297115154585,0.20428070101482043,0.32336535566164637,32.82671659438057,1.156506461299695,0.07958605387216001,,,
double_moves,3x,2018,230,-0.2794195018950226,-0.14904860591045288,0.29481168677035147,6.676790222770666,1.081730533189917,0.13601491575241836,-0.17520252761957456,-0.24316270705363985,-0.18788277129278286
double_moves,3x,2019,252,0.21462440630673518,0.25687906465602817,0.16783853023922124,5.5514752109788,1.2321030849020107,0.0282379113398886,0.2747989096306387,-0.09301303563340568,-0.0539258228909153
double_moves,3x,2020,253,0.2838053010055939,0.41761382390895874,0.2986732025736098,4.5084391445835195,1.3819186018498288,0.00014859914463572914,0.45149345858487444,-0.32368727571581557,-0.2317229315798608
double_moves,3x,2021,252,0.37180921567346037,0.6142076194978012,0.40199370129753764,3.8640639707991027,1.504599604221842,0.0,0.7026774260305146,-0.1886624840574712,-0.18451345413286657
double_moves,3x,2022,251,-0.04884617198272678,0.31418483249514934,0.49195596312263296,4.846457674023957,0.9417294043644736,0.2213764442748057,0.2116059570777804,-0.3623919693796054,-0.31567590488440844
double_moves,3x,2023,250,-0.11050572271423935,-0.04351761690312583,0.21132613943241618,6.8885498838387775,0.9383961833900012,0.0934755269475922,-0.06367817398405085,-0.16639743067535961,-0.12417055716405612
double_moves,3x,2024,252,0.10578736656947291,0.20060217710784167,0.2514157387520635,4.999379631969271,1.2313685766538547,0.004010748322696514,0.18412423659728083,-0.1463035848398555,-0.11095090935249108
double_moves,4x,excluding_2020,1487,-0.019527075589011567,0.25812691732810283,0.4302355888867667,41.280154961028295,1.5410767847594562,0.037153003980210354,,,
double_moves,4x,2018,230,-0.4489322347114718,-0.21232866853684518,0.3971595533070864,8.283674946952768,1.4494951353306729,0.07839225058588749,-0.2529239061720656,-0.31769721705088494,-0.24913940381266375
double_moves,4x,2019,252,0.2403800573906234,0.3152998246515548,0.223487161839976,7.16007698712269,1.6372045865440135,0.0044329681002402005,0.3369429783833986,-0.12762037156764294,-0.07402649862384703
double_moves,4x,2020,253,0.28758560016016266,0.5277174289882882,0.40010984227511454,6.254835378265932,1.8359580780431253,0.0,0.5633387143549637,-0.41792719527266253,-0.30384929454454523
double_moves,4x,2021,252,0.36849209458882537,0.8028637013647291,0.5381273744978375,5.346326814403023,2.0028150643454454,0.0,0.925897694550543,-0.24969672998998782,-0.24502865650835537
double_moves,4x,2022,251,-0.2030709499620313,0.4256167584072052,0.6473987480006618,6.241136428523904,1.2466241615536686,0.13983741562772173,0.23776829317684678,-0.45795850584329034,-0.4054391498839002
double_moves,4x,2023,250,-0.19525062976830598,-0.07473750311551468,0.2834467929527413,7.514924281998848,1.2573232988926486,0.0,-0.10849579549621746,-0.2326861801021417,-0.16679485445072584
double_moves,4x,2024,252,0.0799156634812859,0.24899873290845242,0.3357410405130384,6.734015502027065,1.641582763944366,0.003968253968253968,0.21244203637430292,-0.19343507238512236,-0.14910519354547525
funding12,1.5x,excluding_2020,1487,0.05476276054612678,0.0646969426815294,0.081380514192701,20.865811886630276,0.5800721393273669,0.4199278606726332,,,
funding12,1.5x,2018,230,-0.03800388593409843,-0.02992323200297641,0.07339688427139135,4.046286244038862,0.5401345611210512,0.45986543887894893,-0.03208459574689182,-0.06506542519152059,-0.048348623750273934
funding12,1.5x,2019,252,0.07298007869517563,0.07562846844868765,0.04201896201726087,3.539550889269458,0.6189896022819148,0.3810103977180853,0.07760279019166916,-0.021258735370881077,-0.013765193429448597
funding12,1.5x,2020,253,0.10432152857396965,0.11270708211405682,0.07476877039730412,3.511748892372066,0.6940603991619663,0.305939600838034,0.11615999863538407,-0.08775573734928477,-0.05886520118152627
funding12,1.5x,2021,252,0.14618390492163322,0.16155733597489275,0.1012371178743565,2.496812018415822,0.7551864680588608,0.24481353194113925,0.16928142161340998,-0.04951480686906584,-0.04771180843553635
funding12,1.5x,2022,251,0.06595897934650086,0.08919948938132873,0.12447358497509388,3.215542644548595,0.47813326887618224,0.5218667311238179,0.08485257322913409,-0.08828552060199812,-0.08633118785382665
funding12,1.5x,2023,250,0.008789311082205901,0.013033624533497231,0.05319344227309309,3.855495511972359,0.4672460696763674,0.5327539303236326,0.011691766143313576,-0.03661425264690288,-0.030402836793596788
