date,ticker,action,weekday,actual_start,actual_end,range_status
2019-08-09,IEX,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-08-09,LDOS,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-09-23,CDW,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-09-23,TSS,remove,Monday,,,MISSING_MANIFEST
2019-09-26,JEF,remove,Thursday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-09-26,NVR,add,Thursday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-10-03,LVS,add,Thursday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-10-03,NKTR,remove,Thursday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-10-18,BHGE,remove,Friday,,,MISSING_MANIFEST
2019-10-18,BKR,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-11-05,HCP,remove,Tuesday,,,MISSING_MANIFEST
2019-11-05,NLOK,add,Tuesday,,,MISSING_MANIFEST
2019-11-05,PEAK,add,Tuesday,,,MISSING_MANIFEST
2019-11-05,SYMC,remove,Tuesday,,,MISSING_MANIFEST
2019-11-21,CELG,remove,Thursday,,,MISSING_MANIFEST
2019-11-21,NOW,add,Thursday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2019-12-05,CBS,remove,Thursday,,,MISSING_MANIFEST
2019-12-05,VIAB,remove,Thursday,,,MISSING_MANIFEST
2019-12-05,VIAC,add,Thursday,,,MISSING_MANIFEST
2019-12-05,WRB,add,Thursday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-09,BBT,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-09,ODFL,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-09,STI,remove,Monday,2022-05-02,2026-08-27,EVENT_BEFORE_HISTORY
2019-12-09,TFC,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-10,J,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-10,JEC,remove,Tuesday,,,MISSING_MANIFEST
2019-12-23,AMG,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-23,LYV,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-23,MAC,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-23,STE,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-23,TRIP,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2019-12-23,ZBRA,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-01-28,PAYC,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-01-28,WCG,remove,Tuesday,,,MISSING_MANIFEST
2020-03-03,TT,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-03-03,XEC,remove,Tuesday,,,MISSING_MANIFEST
2020-04-03,CARR,add,Friday,2020-03-19,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-04-03,OTIS,add,Friday,2020-03-19,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-04-03,RTX,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-04-03,UTX,remove,Friday,,,MISSING_MANIFEST
2020-04-06,ARNC,remove,Monday,,,MISSING_MANIFEST
2020-04-06,HWM,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-04-06,M,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-04-06,RTN,remove,Monday,,,MISSING_MANIFEST
2020-05-12,AGN,remove,Tuesday,,,MISSING_MANIFEST
2020-05-12,CPRI,remove,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-05-12,DPZ,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-05-12,DXCM,add,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-05-22,HP,remove,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-05-22,WST,add,Friday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-06-22,ADS,remove,Monday,,,MISSING_MANIFEST
2020-06-22,BIO,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-06-22,HOG,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-06-22,JWN,remove,Monday,,,MISSING_MANIFEST
2020-06-22,TDY,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-06-22,TYL,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2020-09-18,CTL,remove,Friday,,,MISSING_MANIFEST
