scope,asset,variant,rows,mse,residual_correlation
2019,EEM,raw_gbm2,51,0.00041890869290112396,-0.09756332892103314
2019,EEM,cal_gbm2,51,0.00040922025601148487,
2019,EEM,static_gbm2,51,0.00040922025601148487,
2019,IEF,mean,51,5.1484980580657306e-05,
2019,IEF,raw_ridge100,51,5.279572592765842e-05,-0.09047254561829632
2019,IEF,cal_ridge100,51,5.1484980580657306e-05,
2019,IEF,static_ridge100,51,5.1484980580657306e-05,
2019,IEF,raw_gbm2,51,5.0557021310410695e-05,0.12951704770955563
2019,IEF,cal_gbm2,51,5.1484980580657306e-05,
2019,IEF,static_gbm2,51,5.1484980580657306e-05,
2019,TLT,mean,51,0.00029936825571382907,
2019,TLT,raw_ridge100,51,0.00030170481157184507,0.000874138497654205
2019,TLT,cal_ridge100,51,0.00029936825571382907,
2019,TLT,static_ridge100,51,0.00029936825571382907,
2019,TLT,raw_gbm2,51,0.00028473467846744295,0.2578977641114752
2019,TLT,cal_gbm2,51,0.00029936825571382907,
2019,TLT,static_gbm2,51,0.00029936825571382907,
2020,pooled,mean,400,0.0015531093306195953,
2020,pooled,raw_ridge100,400,0.0014941232904246288,0.19185681132490892
2020,pooled,cal_ridge100,400,0.0015531093306195953,
2020,pooled,static_ridge100,400,0.0015531093306195953,
2020,pooled,raw_gbm2,400,0.0015004769342489707,0.17978857123239572
2020,pooled,cal_gbm2,400,0.0015531093306195953,
2020,pooled,static_gbm2,400,0.0015531093306195953,
2020,SPY,mean,50,0.0016446120962012617,
2020,SPY,raw_ridge100,50,0.0015612534360534835,0.2448899658806865
2020,SPY,cal_ridge100,50,0.0016446120962012617,
2020,SPY,static_ridge100,50,0.0016446120962012617,
2020,SPY,raw_gbm2,50,0.0015597900490180233,0.23261352733941665
2020,SPY,cal_gbm2,50,0.0016446120962012617,
2020,SPY,static_gbm2,50,0.0016446120962012617,
2020,QQQ,mean,50,0.0015389006975365471,
2020,QQQ,raw_ridge100,50,0.0014489664960573253,0.24311917021900362
