anchor_ordinal,timestamp,bar_index,current_regime,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,log1p_current_state_age_hours,log1p_previous_state_duration_hours,log1p_hours_since_previous_transition,transition_count_trailing_24h,transition_count_trailing_72h,transition_count_trailing_168h,outcome_R_24h,outcome_R_72h,outcome_R_168h,outcome_M_24h,outcome_M_72h,outcome_M_168h,outcome_V_24h,outcome_V_72h,outcome_V_168h,outcome_S_24h,outcome_S_72h,outcome_S_168h,partition
338,2024-09-30 00:00:00,59105,VOL_COMPRESSION,-0.0032502937903173532,0.0032221248232348837,0.029477842874714378,0.0078737425345718672,0.042220305254442717,0.80690181064057598,6.313548046277095,2.4849066497880004,6.313548046277095,0,0,0,-0.03071330064975317,-0.071125307039433899,-0.027868482303449935,0.03071330064975317,0.071125307039433899,0.027868482303449935,0.022308675662267671,0.046151245377045791,0.06036415985364188,1,0,0,3
339,2024-10-07 00:00:00,59273,VOL_COMPRESSION,0.027941556440710977,0.051145386145190229,-0.027868482303449935,0.018234763501309197,0.06036415985364188,1.3579100546239578,4.8121843553724171,1.0986122886681098,4.8121843553724171,0,0,2,-0.018078898509768959,-0.053190019820064598,-0.018737178621239425,0.018078898509768959,0.053190019820064598,0.018737178621239425,0.030796568604313925,0.041351210200017405,0.053219699789296374,1,1,1,3
340,2024-10-14 00:00:00,59441,VOL_COMPRESSION,-0.010723878443818901,0.038344328370532185,-0.018737178621239425,0.013991952641617837,0.053219699789296374,0.29693064687428328,5.6733232671714928,1.0986122886681098,5.6733232671714928,0,0,0,0.053325135864605563,0.079969328038125065,0.10105867681926262,0.053325135864605563,0.079969328038125065,0.10105867681926262,0.033999594406716349,0.062126046934583685,0.068756961077702794,1,0,0,3
341,2024-10-21 00:00:00,59609,VOL_COMPRESSION,0.013380570741008986,0.028563727589819669,0.10105867681926262,0.0094107179096370782,0.068756961077702794,1.4170033253627947,4.8202815656050371,2.0794415416798357,4.8202815656050371,0,0,2,-0.029705333944537948,-0.026043736949817629,-0.020022605788566454,0.029705333944537948,0.026043736949817629,0.020022605788566454,0.019740467227879741,0.033334425148772613,0.044001906664283622,1,1,1,3
342,2024-10-28 00:00:00,59777,VOL_COMPRESSION,0.012461919417025274,-0.0026903675602712573,-0.020022605788566454,0.0099351033610045117,0.044001906664283622,0.69881385359553172,5.6767538022682817,2.0794415416798357,5.6767538022682817,0,0,0,0.031133383702168626,0.062608544717117146,0.013345672365055449,0.031133383702168626,0.062608544717117146,0.013345672365055449,0.014033802068363046,0.035544755985487793,0.059336128778090379,1,1,0,3
343,2024-11-04 00:00:00,59945,VOL_COMPRESSION,-0.0066937117625599689,-0.019971036578695416,0.013345672365055449,0.021439394788722831,0.059336128778090379,-0.99273459853659451,4.0253516907351496,0.69314718055994529,4.0253516907351496,0,2,2,-0.01019064710480163,0.093445016969513892,0.16057296946705066,0.01019064710480163,0.093445016969513892,0.16057296946705066,0.025008267003781497,0.062049437561538349,0.077703733196890515,1,0,0,3
344,2024-11-11 00:00:00,60113,VOL_COMPRESSION,0.047208038062771934,0.058217060682499752,0.16057296946705066,0.034436721421728919,0.077703733196890515,1.6875631347630557,0.69314718055994529,0.69314718055994529,0.69314718055994529,2,2,4,0.099710702140016219,0.11202826777893098,0.10945949198372185,0.099710702140016219,0.11202826777893098,0.10945949198372185,0.03455788370380921,0.07595089631085826,0.096097017368433846,0,0,0,3
345,2024-11-18 00:00:00,60281,VOL_COMPRESSION,-0.0097737725595926899,0.023197387981771084,0.10945949198372185,0.018314399544975251,0.096097017368433846,0.45325701345589209,3.9512437185814275,1.0986122886681098,3.9512437185814275,0,7,13,0.012343725960879716,0.052498343483969707,0.083797567691898042,0.012343725960879716,0.052498343483969707,0.083797567691898042,0.04299529393437676,0.053537193924451013,0.069915997576429093,0,0,0,3
346,2024-11-25 00:00:00,60449,VOL_COMPRESSION,-0.002040031590823237,-0.0028852336868965883,0.083797567691898042,0.022452936653135965,0.069915997576429093,0.74759878849628647,4.9767337424205742,2.3025850929940459,4.9767337424205742,0,0,2,-0.041869107170302663,-0.012066373674578914,-0.0033040314734171178,0.041869107170302663,0.012066373674578914,0.0033040314734171178,0.035586549929711692,0.055146098948980517,0.064177373162810802,0,0,0,3
347,2024-12-02 00:00:00,60617,VOL_COMPRESSION,0.011539205887069165,0.02082508356888799,-0.0033040314734171178,0.014837688685474927,0.064177373162810802,1.0106940368851725,4.8040210447332568,2.3025850929940459,4.8040210447332568,0,0,4,-0.017512485900592317,0.0098262095692209575,0.022313452232857682,0.017512485900592317,0.0098262095692209575,0.022313452232857682,0.032642849834250073,0.052260729434508171,0.08344642296294999,0,0,0,3
