year,asset,model,rows,dates,mse,mae,correlation
2019,SPY,gbm2,52,52,0.00026520075836249465,0.012461182309940798,0.004020546198609271
2019,SPY,gbm3,52,52,0.0002833051965532372,0.012785458479519344,-0.13435026047007986
2019,SPY,mlp16,52,52,0.0002769292660759586,0.012778467996478556,-0.06279077726060961
2019,SPY,mlp32,52,52,0.0002538089154248739,0.012274907098712736,0.17650098131466857
2019,SPY,sequence16,52,52,0.0003075693157413991,0.013149524183171536,-0.2749665789014792
2019,SPY,sequence32,52,52,0.0002864546829383904,0.012806552855580883,-0.0938727025661982
2019,SPY,selected,52,52,0.0002864546829383904,0.012806552855580883,-0.0938727025661982
2019,SPY,zero,52,52,0.0002711955352673698,0.012680679682133683,
2019,SPY,past_mean,52,52,0.00025909114836292945,0.01229792292472711,-6.018421407852655e-17
2019,QQQ,ridge1,52,52,0.0003735286406911282,0.015177793892163323,0.16623086912567403
2019,QQQ,ridge100,52,52,0.0003733115821862371,0.015162652627781157,0.17289120909257696
2019,QQQ,gbm2,52,52,0.00039510437047885107,0.015680627614887043,0.0013635159181399205
2019,QQQ,gbm3,52,52,0.000398154118422689,0.015580751212989536,0.008735354408014673
2019,QQQ,mlp16,52,52,0.00038754239138524626,0.015570814702699325,0.08172181126102296
2019,QQQ,mlp32,52,52,0.0003739405463009286,0.014975286267976824,0.12701358184991485
2019,QQQ,sequence16,52,52,0.00042634304588645065,0.016408373430945384,-0.11461569374733532
2019,QQQ,sequence32,52,52,0.00041575910540059307,0.016109182244442247,-0.06509168244836591
2019,QQQ,selected,52,52,0.00041575910540059307,0.016109182244442247,-0.06509168244836591
2019,QQQ,zero,52,52,0.00040093851755908304,0.01581920436832349,
2019,QQQ,past_mean,52,52,0.0003799633803978492,0.015182293169134222,-6.755874984171617e-17
2019,GLD,ridge1,52,52,0.00028474795574585595,0.012851531756851239,0.0856773785286195
2019,GLD,ridge100,52,52,0.00028477442532746304,0.01284417322991676,0.081610278247354
2019,GLD,gbm2,52,52,0.00028623064965310936,0.012846837145951738,0.061656956610436506
2019,GLD,gbm3,52,52,0.00028105741311950896,0.012719632322218035,0.11966226569346246
2019,GLD,mlp16,52,52,0.0002773855300381209,0.012843622973406871,0.034138343692294654
2019,GLD,mlp32,52,52,0.00030071658374547554,0.013446069135009984,0.11115171410350176
2019,GLD,sequence16,52,52,0.00027011455646211706,0.013211236173952524,0.19571610397340275
2019,GLD,sequence32,52,52,0.00029836261157691903,0.013427383332965278,-0.018608135116825696
2019,GLD,selected,52,52,0.00029836261157691903,0.013427383332965278,-0.018608135116825696
2019,GLD,zero,52,52,0.000284347120372235,0.012939989746200288,
2019,GLD,past_mean,52,52,0.0002818979445971447,0.012864933802039406,
2019,IWM,ridge1,52,52,0.00041369657829609007,0.016430384010127745,0.1592554620810139
2019,IWM,ridge100,52,52,0.00041360088930156975,0.01642539318126083,0.16373545565406752
2019,IWM,gbm2,52,52,0.00043067199237661576,0.016746460931798143,-0.09455672188299771
2019,IWM,gbm3,52,52,0.0004420933447168965,0.01688366129605889,-0.12517691871309194
2019,IWM,mlp16,52,52,0.0004079888494109845,0.016338709255469715,0.16381640363314617
2019,IWM,mlp32,52,52,0.00040810316944370965,0.01603360720528287,0.17565797787020557
2019,IWM,sequence16,52,52,0.00048813771733221807,0.017901701632332324,-0.3007275965498544
2019,IWM,sequence32,52,52,0.00041923131717794016,0.01624519927183958,0.13008917653202473
2019,IWM,selected,52,52,0.00041923131717794016,0.01624519927183958,0.13008917653202473
2019,IWM,zero,52,52,0.00042943579518603994,0.016734510798307206,
2019,IWM,past_mean,52,52,0.0004216294865797299,0.016474863034787793,-5.232529188550986e-17
2019,EFA,ridge1,52,52,0.00022951249537758194,0.011709207750650149,0.21992018648860104
2019,EFA,ridge100,52,52,0.00022965693836449617,0.011711234340677092,0.21851328711121826
2019,EFA,gbm2,52,52,0.0002358902553250925,0.011850285305785867,-0.13352679368029022
2019,EFA,gbm3,52,52,0.00024104218381141082,0.012015428029104639,-0.1988619790476885
2019,EFA,mlp16,52,52,0.00022644554682923907,0.011479015319472489,0.19761349696213332
2019,EFA,mlp32,52,52,0.00023494765285875035,0.0119037042939676,0.019504234555574203
2019,EFA,sequence16,52,52,0.0002464838931401338,0.012308449226309406,-0.0703262137571936
2019,EFA,sequence32,52,52,0.00025637257118941986,0.012077639260633266,-0.166434370174916
2019,EFA,selected,52,52,0.00025637257118941986,0.012077639260633266,-0.166434370174916
2019,EFA,zero,52,52,0.00023429663017527857,0.01177865842766475,
2019,EFA,past_mean,52,52,0.00023273937859109655,0.011731765608284348,-4.018355021823969e-17
2019,EEM,ridge1,52,52,0.0005058809347067819,0.01779789502336772,0.0830297327926336
2019,EEM,ridge100,52,52,0.0005059879880182284,0.017794031995552614,0.08026679847864905
2019,EEM,gbm2,52,52,0.0005127889915928876,0.01774811278610625,-0.1148840152292593
2019,EEM,gbm3,52,52,0.0005144337707183721,0.01770388791107416,-0.06333367904544095
2019,EEM,mlp16,52,52,0.0005396889077310747,0.018522576463924918,-0.0889262127968878
2019,EEM,mlp32,52,52,0.000526000638721509,0.018235822258528427,-0.22896603238157254
2019,EEM,sequence16,52,52,0.0005512450435236709,0.018992104927543076,-0.15720774564322992
2019,EEM,sequence32,52,52,0.0005595305853198863,0.01849316474598484,-0.23111222944474227
2019,EEM,selected,52,52,0.0005595305853198863,0.01849316474598484,-0.23111222944474227
2019,EEM,zero,52,52,0.0005077653184999991,0.017617430456278945,
2019,EEM,past_mean,52,52,0.0005061621450965025,0.017604716575922864,
2019,IEF,ridge1,52,52,5.1771036907629164e-05,0.00555132528254723,-0.17694721258320326
2019,IEF,ridge100,52,52,5.1703115739482e-05,0.005547700177810145,-0.17536070355127384
2019,IEF,gbm2,52,52,4.7692593280532534e-05,0.005252442842617238,0.12472582392830789
2019,IEF,gbm3,52,52,4.750794471213489e-05,0.005241359318654276,0.13151024737903558
2019,IEF,mlp16,52,52,4.756106545117051e-05,0.005213835295090751,0.14891809782170587
2019,IEF,mlp32,52,52,4.9666539572436646e-05,0.0054539154853031745,0.02934977912627078
2019,IEF,sequence16,52,52,6.091507662765779e-05,0.0059256626693894926,-0.0928205973958718
2019,IEF,sequence32,52,52,6.666958339802803e-05,0.006241395106839421,-0.24312407966142413
2019,IEF,selected,52,52,6.666958339802803e-05,0.006241395106839421,-0.24312407966142413
2019,IEF,zero,52,52,5.098193194154977e-05,0.005524264280401184,
2019,IEF,past_mean,52,52,4.959928976601074e-05,0.005395848078577728,1.928672268244004e-17
2019,TLT,ridge1,52,52,0.00028752751993767835,0.013218570428498104,-0.06973854294096923
2019,TLT,ridge100,52,52,0.0002871193809773947,0.013211590560657212,-0.06307832559919063
2019,TLT,gbm2,52,52,0.0002682466107894866,0.012999729629072627,0.25550834365277647
2019,TLT,gbm3,52,52,0.00026363722184965534,0.012947075532737305,0.28312925216330126
2019,TLT,mlp16,52,52,0.00028328990150021236,0.01305196703719436,0.06056670857823121
2019,TLT,mlp32,52,52,0.0002767334940626482,0.01289900305919503,0.12384525103024492
2019,TLT,sequence16,52,52,0.0002816463757664273,0.013098763945428755,0.08593997918193967
2019,TLT,sequence32,52,52,0.0003070890856332039,0.013343428738641631,-0.21974438256616896
2019,TLT,selected,52,52,0.0003070890856332039,0.013343428738641631,-0.21974438256616896
2019,TLT,zero,52,52,0.000286226431494668,0.013186696829028075,
2019,TLT,past_mean,52,52,0.00028155376572218616,0.013016383374676145,-6.214324403676702e-17
2020,pooled,ridge1,424,53,0.0014550008372745922,0.024757126840097513,0.2279558423265872
2020,pooled,ridge100,424,53,0.001454511096684405,0.024753118535891374,0.23026536441796136
2020,pooled,gbm2,424,53,0.0014669256515907252,0.025136555835836398,0.20246010301311312
2020,pooled,gbm3,424,53,0.0014681022585432675,0.025064769311423766,0.19584885750078568
2020,pooled,mlp16,424,53,0.0014363837441556558,0.024610136173597807,0.23683186566966538
2020,pooled,mlp32,424,53,0.0014187791809317923,0.02452136655478502,0.2698436031988929
2020,pooled,sequence16,424,53,0.0015066074518339224,0.024962673243315494,0.12250992314124869
2020,pooled,sequence32,424,53,0.0014952484216991023,0.025308128510708034,0.13927501138900505
2020,pooled,selected,424,53,0.001454511096684405,0.024753118535891374,0.23026536441796136
2020,pooled,zero,424,53,0.001543927856142473,0.02565630253986943,
2020,pooled,past_mean,424,53,0.0015286019654129476,0.025432209391124155,0.05305597435731901
2020,SPY,ridge1,53,53,0.001589162692806963,0.027665711685195257,0.27098676957583784
2020,SPY,ridge100,53,53,0.00158856724229215,0.027658003680210482,0.2740375004181402
2020,SPY,gbm2,53,53,0.0016179238563021926,0.02845766766739892,0.21268865310539564
2020,SPY,gbm3,53,53,0.0016280309632664414,0.028522907776796207,0.1949360656144057
2020,SPY,mlp16,53,53,0.0015354740726680532,0.027634361284094997,0.3096250671535616
2020,SPY,mlp32,53,53,0.0015392905526996977,0.02756397078697612,0.30061712835157334
2020,SPY,sequence16,53,53,0.001672690829383458,0.02808501731315707,0.10752964694673713
2020,SPY,sequence32,53,53,0.0016192250053130445,0.027533233698689413,0.2089354809397604
2020,SPY,selected,53,53,0.00158856724229215,0.027658003680210482,0.2740375004181402
2020,SPY,zero,53,53,0.0017121185498911893,0.029413899468232217,
2020,SPY,past_mean,53,53,0.0016943275528358902,0.028861514527696447,
2020,QQQ,ridge1,53,53,0.0016370966383239972,0.032396918389782176,0.2755957883631562
2020,QQQ,ridge100,53,53,0.001636464137494261,0.03237479210159684,0.27943720845990555
2020,QQQ,gbm2,53,53,0.0017309588638252673,0.03356342470926955,0.15921193194082553
2020,QQQ,gbm3,53,53,0.0017598505182513454,0.03373538862209956,0.12342713299817545
2020,QQQ,mlp16,53,53,0.0016055441682603774,0.03164929796369318,0.26656372191977556
2020,QQQ,mlp32,53,53,0.0016084274642871623,0.03200099469996254,0.3008125491936298
2020,QQQ,sequence16,53,53,0.001748314259360082,0.03245450287076494,0.07602515354965872
2020,QQQ,sequence32,53,53,0.001674938135567018,0.03307793169405394,0.20581899443315124
2020,QQQ,selected,53,53,0.001636464137494261,0.03237479210159684,0.27943720845990555
2020,QQQ,zero,53,53,0.0018136515578382317,0.03394988809890278,
2020,QQQ,past_mean,53,53,0.0017580383595951,0.033176658860611906,-1.8976386698598853e-17
2020,GLD,ridge1,53,53,0.0009941770522229614,0.021988821926667127,0.28884080776032994
2020,GLD,ridge100,53,53,0.0009940026764869345,0.021998380993638142,0.29352418920844
2020,GLD,gbm2,53,53,0.001026191075298979,0.022450352429024396,0.07584859769633172
2020,GLD,gbm3,53,53,0.0009950941257660458,0.022044405264149705,0.17974213954633564
2020,GLD,mlp16,53,53,0.0010220097010924163,0.021907055270800786,0.09608639876833654
2020,GLD,mlp32,53,53,0.00100932073377645,0.022008981603813912,0.22904371485110525
2020,GLD,sequence16,53,53,0.0010253906699968813,0.022173187731255182,0.08990329556541929
2020,GLD,sequence32,53,53,0.0009934925575296382,0.02251103541743741,0.249711716831244
2020,GLD,selected,53,53,0.0009940026764869345,0.021998380993638142,0.29352418920844
2020,GLD,zero,53,53,0.0010388054805659129,0.02252201361300574,
2020,GLD,past_mean,53,53,0.0010328541414227354,0.022468071552214794,-2.4536442469075845e-17
2020,IWM,ridge1,53,53,0.0030279805106933435,0.03780434644329105,0.19954140730189782
2020,IWM,ridge100,53,53,0.003026639598951179,0.03779208453216144,0.20196184819534072
2020,IWM,gbm2,53,53,0.002985499894539521,0.03761149713349252,0.27062749496565053
2020,IWM,gbm3,53,53,0.0029955584469712414,0.03769435178548729,0.243478320487714
2020,IWM,mlp16,53,53,0.0029784283394624525,0.03766540051180252,0.24376630906799646
2020,IWM,mlp32,53,53,0.002923670949740507,0.03768249896792966,0.26808052679223393
2020,IWM,sequence16,53,53,0.0032599621363142827,0.03867820118915131,-0.06289223182905862
2020,IWM,sequence32,53,53,0.0031850633858062118,0.03928325211125464,0.01765195089041693
