policy,control,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
boosted_vol40_exact,fixed_blend_vol40_exact,frictionless,2020_2021,-0.055559100443517195,-0.040356638075337514,0.0058746413829506849,-0.0042694489434579874
boosted_vol40_exact,state_rule_vol40_exact,frictionless,2020_2021,0.037751288640476499,0.045156300546646655,0.011727296474155713,-0.0022125239385752948
boosted_vol40_exact,constant_vol40_exact,frictionless,2020_2021,0.049195159268426103,0.047845975959728726,0,0.00067954917362128553
boosted_vol40_exact,trend_vol40_exact,frictionless,2022_2024,-0.027564327183811521,-0.13036149778957673,-0.14411257297553459,0.052522037685435674
boosted_vol40_exact,allocation_vol40_exact,frictionless,2022_2024,-0.043483524151256336,-0.04399413873887259,0.083362714779517733,-0.067438712726264061
boosted_vol40_exact,fixed_blend_vol40_exact,frictionless,2022_2024,-0.044133574511650897,-0.11021319097650983,-0.047725590696478526,0.0070217716327908297
boosted_vol40_exact,state_rule_vol40_exact,frictionless,2022_2024,-0.04523437323757129,-0.14344187837239863,-0.1140211040251895,0.030769765515688163
boosted_vol40_exact,constant_vol40_exact,frictionless,2022_2024,-0.027564327183811521,-0.13036149778957673,-0.14411257297553459,0.052522037685435674
ridge_vol40_band2,trend_vol40_band2,frictionless,full,-0.12828499537983729,-0.27477171146899848,-0.22937908604463142,0.018940088032306401
ridge_vol40_band2,allocation_vol40_band2,frictionless,full,-0.20129481478477351,-0.23252508254834381,-0.0097681380792351558,-0.051046186842832186
ridge_vol40_band2,fixed_blend_vol40_band2,frictionless,full,-0.17211509309236073,-0.28395409798087279,-0.12262399166626392,-0.0069763697328781848
ridge_vol40_band2,state_rule_vol40_band2,frictionless,full,-0.14513958098956548,-0.27337873427388959,-0.22715480316432857,0.0069035697369014271
ridge_vol40_band2,constant_vol40_band2,frictionless,full,-0.12828499537983729,-0.27477171146899848,-0.22937908604463142,0.018940088032306401
ridge_vol40_band2,trend_vol40_band2,frictionless,2020_2021,0.0019945133774927903,-0.013603469058151019,-0.009811269885393048,0.0048043893586697806
ridge_vol40_band2,allocation_vol40_band2,frictionless,2020_2021,-0.21313009491947499,-0.18260603343407666,0.0020760011402610745,-0.0072658328885225054
ridge_vol40_band2,fixed_blend_vol40_band2,frictionless,2020_2021,-0.1047966551559143,-0.10464930655563442,-0.0039181503427251352,-0.00020725406709937166
ridge_vol40_band2,state_rule_vol40_band2,frictionless,2020_2021,-0.011224583483829154,-0.018979719990404043,0.0020760011402606304,0.0021714920393517967
ridge_vol40_band2,constant_vol40_band2,frictionless,2020_2021,0.0019945133774927903,-0.013603469058151019,-0.009811269885393048,0.0048043893586697806
ridge_vol40_band2,trend_vol40_band2,frictionless,2022_2024,-0.16551437457234819,-0.48053357740728714,-0.23638839683275215,0.032287302400049844
ridge_vol40_band2,allocation_vol40_band2,frictionless,2022_2024,-0.18341407806532084,-0.39960858621037626,-0.013360925106648214,-0.086580806895356022
ridge_vol40_band2,fixed_blend_vol40_band2,frictionless,2022_2024,-0.18389448528558194,-0.46504407053630187,-0.1459088416365798,-0.01328284456542328
ridge_vol40_band2,state_rule_vol40_band2,frictionless,2022_2024,-0.18288933123346252,-0.49391650795894487,-0.20738344201891179,0.010980549964514696
ridge_vol40_band2,constant_vol40_band2,frictionless,2022_2024,-0.16551437457234819,-0.48053357740728714,-0.23638839683275215,0.032287302400049844
boosted_vol40_band2,trend_vol40_band2,frictionless,full,-0.0064623504165000067,-0.077099551852901183,-0.14910699435813801,0.027311973049696958
boosted_vol40_band2,allocation_vol40_band2,frictionless,full,-0.079472169821436234,-0.034852922932246511,0.070503953607258252,-0.04267430182544163
boosted_vol40_band2,fixed_blend_vol40_band2,frictionless,full,-0.050292448129023448,-0.08628193836477549,-0.042351899979770513,0.0013955152845123719
boosted_vol40_band2,state_rule_vol40_band2,frictionless,full,-0.023316936026228197,-0.075706574657792292,-0.14688271147783516,0.015275454754291984
boosted_vol40_band2,constant_vol40_band2,frictionless,full,-0.0064623504165000067,-0.077099551852901183,-0.14910699435813801,0.027311973049696958
boosted_vol40_band2,trend_vol40_band2,frictionless,2020_2021,0.051392965259016599,0.051173391160854953,0,0.00054189099419804654
boosted_vol40_band2,allocation_vol40_band2,frictionless,2020_2021,-0.16373164303795118,-0.11782917321507069,0.011887271025654123,-0.011528331252994239
boosted_vol40_band2,fixed_blend_vol40_band2,frictionless,2020_2021,-0.05539820327439049,-0.039872446336628453,0.0058931195426679128,-0.0044697524315711057
boosted_vol40_band2,state_rule_vol40_band2,frictionless,2020_2021,0.038173868397694655,0.045797140228601929,0.011887271025653678,-0.0020910063251199373
boosted_vol40_band2,constant_vol40_band2,frictionless,2020_2021,0.051392965259016599,0.051173391160854953,0,0.00054189099419804654
boosted_vol40_band2,trend_vol40_band2,frictionless,2022_2024,-0.027217458859448929,-0.12899585367184352,-0.14120649743586355,0.051913870173614762
boosted_vol40_band2,allocation_vol40_band2,frictionless,2022_2024,-0.04511716235242158,-0.048070862474932641,0.081820974290240378,-0.066954239121791104
boosted_vol40_band2,fixed_blend_vol40_band2,frictionless,2022_2024,-0.045597569572682684,-0.11350634680085825,-0.050726942239691208,0.0063437232081416384
boosted_vol40_band2,state_rule_vol40_band2,frictionless,2022_2024,-0.044592415520563256,-0.14237878422350125,-0.1122015426220232,0.030607117738079614
