policy,scenario,year,observations,total_return
rotation_vol40,delay_one_day,2020,366,0.83074181879248643
rotation_vol40,delay_one_day,2021,365,0.93836251458971343
rotation_vol40,delay_one_day,2022,365,-0.25691501019203733
rotation_vol40,delay_one_day,2023,365,0.4031388341727018
rotation_vol40,delay_one_day,2024,366,0.73248096515659933
rotation_uncapped,delay_one_day,2018,363,-0.65560846993417954
rotation_uncapped,delay_one_day,2019,365,-0.1740385282364042
rotation_uncapped,delay_one_day,2020,366,1.0852616370346864
rotation_uncapped,delay_one_day,2021,365,2.5952205352507129
rotation_uncapped,delay_one_day,2022,365,-0.44072313851378775
rotation_uncapped,delay_one_day,2023,365,0.51642590148438083
rotation_uncapped,delay_one_day,2024,366,0.76986037637503535
equal_weight_vol20,delay_one_day,2018,363,-0.31045810830800058
equal_weight_vol20,delay_one_day,2019,365,0.18963107785990396
equal_weight_vol20,delay_one_day,2020,366,0.74901189521917888
equal_weight_vol20,delay_one_day,2021,365,0.38868412295706078
equal_weight_vol20,delay_one_day,2022,365,-0.25910293092605008
equal_weight_vol20,delay_one_day,2023,365,0.4761150076900782
equal_weight_vol20,delay_one_day,2024,366,0.31930240019449063
equal_weight_vol40,delay_one_day,2018,363,-0.54527470772966558
equal_weight_vol40,delay_one_day,2019,365,0.36221869590240519
equal_weight_vol40,delay_one_day,2020,366,1.8834928603217902
equal_weight_vol40,delay_one_day,2021,365,0.84465503040125633
equal_weight_vol40,delay_one_day,2022,365,-0.47478768564150509
equal_weight_vol40,delay_one_day,2023,365,1.0122893491714184
equal_weight_vol40,delay_one_day,2024,366,0.66749233682495235
equal_weight_uncapped,delay_one_day,2018,363,-0.80924173235234409
equal_weight_uncapped,delay_one_day,2019,365,0.40686232685662671
equal_weight_uncapped,delay_one_day,2020,366,3.9344775533428358
equal_weight_uncapped,delay_one_day,2021,365,1.9466560323861071
equal_weight_uncapped,delay_one_day,2022,365,-0.65456764515568167
equal_weight_uncapped,delay_one_day,2023,365,1.2172136174990915
equal_weight_uncapped,delay_one_day,2024,366,0.80838233845012542
btc_buy_hold,delay_one_day,2018,363,-0.7562086716550227
btc_buy_hold,delay_one_day,2019,365,0.94095117366312064
