scenario,asset,regime,entry_year,trades,mean_net_trade_return,median_net_trade_return,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5
base,ETH,TREND_DOWN,all,14,0.015118778555212185,0.001699089507542717,0.5714285714285714,101.29193942128006,0.978450434099519,0.9139437012957679
base,ETH,TREND_DOWN,2020,1,0.01779611273256365,0.01779611273256365,1.0,118.19266530088501,1.0,1.0
base,ETH,TREND_DOWN,2021,2,0.027151207022296675,0.027151207022296675,0.5,159.41845977211534,1.0,0.9835253976567602
base,ETH,TREND_DOWN,2022,3,0.012596508567582357,0.003280918161122859,0.6666666666666666,91.98213858262068,1.0,0.9996644899230304
base,ETH,TREND_DOWN,2023,2,-0.0021472448510370667,-0.0021472448510370667,0.5,19.145920960373957,1.0,0.9913436965559953
base,ETH,TREND_DOWN,2024,4,0.014695981545319092,-0.010904964827144092,0.5,95.50068988847637,1.0,0.9488885116177939
base,ETH,TREND_DOWN,2025,2,0.02364270540693214,0.02364270540693214,0.5,142.39691923081963,1.0,0.9805652405121312
base,ETH,RANGE,all,1,0.11033063510486452,0.11033063510486452,1.0,552.7253895994414,1.0,1.0
base,ETH,RANGE,2020,0,,,,,,1.0
base,ETH,RANGE,2021,0,,,,,,1.0
base,ETH,RANGE,2022,0,,,,,,1.0
base,ETH,RANGE,2023,0,,,,,,1.0
base,ETH,RANGE,2024,0,,,,,,1.0
base,ETH,RANGE,2025,1,0.11033063510486452,0.11033063510486452,1.0,552.7253895994414,1.0,1.0
base,ETH,VOL_COMPRESSION,all,3,-0.0017730212372205252,-0.0012972946494204107,0.3333333333333333,21.05115946738846,1.0,0.9899799617082307
base,ETH,VOL_COMPRESSION,2020,0,,,,,,1.0
base,ETH,VOL_COMPRESSION,2021,0,,,,,,1.0
base,ETH,VOL_COMPRESSION,2022,0,,,,,,1.0
base,ETH,VOL_COMPRESSION,2023,3,-0.0017730212372205252,-0.0012972946494204107,0.3333333333333333,21.05115946738846,1.0,0.9899799617082307
base,ETH,VOL_COMPRESSION,2024,0,,,,,,1.0
base,ETH,VOL_COMPRESSION,2025,0,,,,,,1.0
base,ETH,VOL_EXPANSION,all,19,-0.01137157473196445,0.0010928771993603537,0.5263157894736842,,0.8028483100591325,0.6475138935605433
base,ETH,VOL_EXPANSION,2020,2,0.04333605241342764,0.04333605241342764,1.0,240.34832511825385,1.0,1.0
base,ETH,VOL_EXPANSION,2021,4,-0.020967956165420742,-0.0407759739210245,0.25,,1.0,0.8753570470296369
base,ETH,VOL_EXPANSION,2022,5,-0.03418965866836525,-0.008980030953356533,0.4,,1.0,0.8029397290379758
base,ETH,VOL_EXPANSION,2023,0,,,,,,1.0
base,ETH,VOL_EXPANSION,2024,3,-0.020740221175343538,0.009619843326631905,0.6666666666666666,,1.0,0.9128342418584586
base,ETH,VOL_EXPANSION,2025,5,0.0028617513590720066,0.0010928771993603537,0.6,42.746978165407974,1.0,0.96007684407683
base,ETH,HIGH_VOL,all,20,0.014706598152071648,0.018331650436287372,0.65,96.19087902232879,0.6159654050531262,0.9315832585357379
base,ETH,HIGH_VOL,2020,4,-0.00970081560385988,-0.007291854308049794,0.25,,1.0,0.9550776153623086
base,ETH,HIGH_VOL,2021,8,0.027918808015902116,0.023679906862799194,0.75,163.63580044705293,0.9866077829034154,0.9617914299324568
base,ETH,HIGH_VOL,2022,4,-0.020766376493722066,-0.0036776499177131883,0.5,,1.0,0.8199583080004218
base,ETH,HIGH_VOL,2023,0,,,,,,1.0
base,ETH,HIGH_VOL,2024,2,0.06132835821964888,0.06132835821964888,1.0,327.31011278122696,1.0,1.0
base,ETH,HIGH_VOL,2025,2,0.03499677543262303,0.03499677543262303,1.0,201.8350352579711,1.0,1.0
base,ETH,UNKNOWN,all,0,,,,,,1.0
base,ETH,UNKNOWN,2020,0,,,,,,1.0
base,ETH,UNKNOWN,2021,0,,,,,,1.0
base,ETH,UNKNOWN,2022,0,,,,,,1.0
base,ETH,UNKNOWN,2023,0,,,,,,1.0
base,ETH,UNKNOWN,2024,0,,,,,,1.0
base,ETH,UNKNOWN,2025,0,,,,,,1.0
cost_stress,BTC,TREND_UP,all,12,-0.011256851487373043,-0.011728886374594127,0.3333333333333333,16.82734619118491,1.0,0.8205584594044047
cost_stress,BTC,TREND_UP,2020,3,-0.021428271562881,-0.0238556996731506,0.3333333333333333,,1.0,0.9077890996574297
cost_stress,BTC,TREND_UP,2021,0,,,,,,1.0
cost_stress,BTC,TREND_UP,2022,2,0.0005722556274951329,0.0005722556274951329,0.5,77.4619207933064,1.0,0.9879418130581953
cost_stress,BTC,TREND_UP,2023,4,-0.007208364130630973,-0.009942870715378416,0.25,38.63543935288973,1.0,0.9643875666075966
cost_stress,BTC,TREND_UP,2024,2,-0.0259230226840938,-0.0259230226840938,0.0,,,0.9487277293104287
cost_stress,BTC,TREND_UP,2025,1,0.00873758747588771,0.00873758747588771,1.0,118.49403832706334,1.0,1.0
cost_stress,BTC,TREND_DOWN,all,15,-0.008010027719970296,-0.004532674978630524,0.4666666666666667,33.53238953224173,0.9423248715425231,0.8213733329926831
cost_stress,BTC,TREND_DOWN,2020,2,-0.01619159221943528,-0.01619159221943528,0.5,,1.0,0.9665244700500647
cost_stress,BTC,TREND_DOWN,2021,2,9.568860699138426e-06,9.568860699138426e-06,0.5,74.99626479198042,1.0,0.9954673250213695
cost_stress,BTC,TREND_DOWN,2022,2,0.011923730988311121,0.011923730988311121,1.0,134.1682823051115,1.0,1.0
cost_stress,BTC,TREND_DOWN,2023,2,-0.014308918292770367,-0.014308918292770367,0.0,2.886360762783982,,0.9715660564569512
cost_stress,BTC,TREND_DOWN,2024,4,-0.021821743185755305,-0.03043804652411547,0.25,,1.0,0.8879062338603306
cost_stress,BTC,TREND_DOWN,2025,3,0.001423659423285854,0.00338486694465967,0.6666666666666666,81.72052522943342,1.0,0.9851891257300904
cost_stress,BTC,RANGE,all,3,-0.010162563896226162,-0.01710123335432656,0.3333333333333333,18.681791133549993,1.0,0.9219054665586481
cost_stress,BTC,RANGE,2020,0,,,,,,1.0
cost_stress,BTC,RANGE,2021,0,,,,,,1.0
cost_stress,BTC,RANGE,2022,0,,,,,,1.0
cost_stress,BTC,RANGE,2023,1,0.04866805038700539,0.04866805038700539,1.0,312.5037950388386,1.0,1.0
cost_stress,BTC,RANGE,2024,2,-0.03957787103784194,-0.03957787103784194,0.0,,,0.9219054665586481
cost_stress,BTC,RANGE,2025,0,,,,,,1.0
cost_stress,BTC,VOL_COMPRESSION,all,5,-0.010487000425816562,-0.010670603869837092,0.0,22.242282854097233,,0.9486085173035793
cost_stress,BTC,VOL_COMPRESSION,2020,1,-0.015705261884621402,-0.015705261884621402,0.0,,,0.9842947381153786
cost_stress,BTC,VOL_COMPRESSION,2021,0,,,,,,1.0
cost_stress,BTC,VOL_COMPRESSION,2022,1,-0.009887846488243368,-0.009887846488243368,0.0,25.316072741354326,,0.9901121535117566
cost_stress,BTC,VOL_COMPRESSION,2023,1,-0.010670603869837092,-0.010670603869837092,0.0,21.361658686357885,,0.9893293961301629
cost_stress,BTC,VOL_COMPRESSION,2024,0,,,,,,1.0
cost_stress,BTC,VOL_COMPRESSION,2025,2,-0.008085644943190473,-0.008085644943190473,0.0,34.34079212636981,,0.983867356155733
cost_stress,BTC,VOL_EXPANSION,all,9,-0.0049028834331669895,0.01425703538977885,0.5555555555555556,46.22351848325847,1.0,0.855640301531972
cost_stress,BTC,VOL_EXPANSION,2020,2,-0.020108763549228692,-0.020108763549228692,0.0,,,0.9600642885540628
cost_stress,BTC,VOL_EXPANSION,2021,2,0.01564866243281593,0.01564866243281593,0.5,151.6241757874466,1.0,0.995306950326075
cost_stress,BTC,VOL_EXPANSION,2022,3,-0.022226105946258512,0.015670109255719433,0.6666666666666666,,1.0,0.8954346165270286
cost_stress,BTC,VOL_EXPANSION,2023,0,,,,,,1.0
cost_stress,BTC,VOL_EXPANSION,2024,1,0.01425703538977885,0.01425703538977885,1.0,145.77287765418484,1.0,1.0
cost_stress,BTC,VOL_EXPANSION,2025,1,0.017215533783319303,0.017215533783319303,1.0,160.33279331867064,1.0,1.0
cost_stress,BTC,HIGH_VOL,all,6,-0.04901999483744648,-0.03036564785397383,0.3333333333333333,,1.0,0.6933923074017628
cost_stress,BTC,HIGH_VOL,2020,2,-0.09489507908966094,-0.09489507908966094,0.0,,,0.8156120512338131
cost_stress,BTC,HIGH_VOL,2021,2,0.0015928597706950653,0.0015928597706950653,0.5,81.07871185141653,1.0,0.9741398996161815
cost_stress,BTC,HIGH_VOL,2022,2,-0.05375776519337355,-0.05375776519337355,0.5,,1.0,0.8727182405137376
cost_stress,BTC,HIGH_VOL,2023,0,,,,,,1.0
cost_stress,BTC,HIGH_VOL,2024,0,,,,,,1.0
cost_stress,BTC,HIGH_VOL,2025,0,,,,,,1.0
cost_stress,BTC,UNKNOWN,all,0,,,,,,1.0
cost_stress,BTC,UNKNOWN,2020,0,,,,,,1.0
cost_stress,BTC,UNKNOWN,2021,0,,,,,,1.0
cost_stress,BTC,UNKNOWN,2022,0,,,,,,1.0
cost_stress,BTC,UNKNOWN,2023,0,,,,,,1.0
cost_stress,BTC,UNKNOWN,2024,0,,,,,,1.0
