scenario,gap_mode,regime_filter,asset,accounting_max_relative_error,replay_max_relative_error,cancelled_missing_entries,held_stale_marks,ignored_signals,deferred_exits,trades,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5,combination
cost_stress,original,TREND_DOWN,BTC,1.0824655566399845e-16,0.0,0.0,0.0,0.0,0.0,15,0.4666666666666667,33.53238953224173,0.9419118637208072,0.8213733329926831,
cost_stress,original,TREND_DOWN,ETH,3.472668618474331e-16,2.2024433079978373e-16,0.0,0.0,0.0,0.0,14,0.35714285714285715,101.29193942128006,1.0,0.8428311187192304,
cost_stress,original,TREND_DOWN,MIX,,,,,,,29,0.41379310344827586,,0.835474223758737,0.854140800770075,"equal initial capital, no sleeve rebalancing"
cost_stress,original,RANGE,BTC,1.794824368626687e-16,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,18.681791133549993,1.0,0.9219054665586479,
cost_stress,original,RANGE,ETH,3.491184595053874e-16,0.0,0.0,0.0,0.0,0.0,1,1.0,552.7253895994414,1.0,1.0,
cost_stress,original,RANGE,MIX,,,,,,,4,0.5,,1.0,0.960952733279324,"equal initial capital, no sleeve rebalancing"
cost_stress,original,VOL_COMPRESSION,BTC,1.0949798589785149e-16,0.0,0.0,0.0,0.0,0.0,5,0.0,22.242282854097233,,0.948608517303579,
cost_stress,original,VOL_COMPRESSION,ETH,3.8636190114490143e-16,0.0,0.0,0.0,0.0,0.0,3,0.0,21.05115946738846,,0.968148175612533,
cost_stress,original,VOL_COMPRESSION,MIX,,,,,,,8,0.0,,,0.958378346458056,"equal initial capital, no sleeve rebalancing"
cost_stress,original,VOL_EXPANSION,BTC,3.8210763744583537e-16,0.0,0.0,0.0,1.0,0.0,9,0.5555555555555556,46.22351848325847,1.0,0.8556403015319716,
cost_stress,original,VOL_EXPANSION,ETH,1.799270838784056e-16,0.0,0.0,0.0,0.0,0.0,19,0.42105263157894735,,0.9325218631543154,0.5708557580936501,
cost_stress,original,VOL_EXPANSION,MIX,,,,,,,28,0.4642857142857143,,0.7214963977134341,0.7385864770909742,"equal initial capital, no sleeve rebalancing"
cost_stress,original,HIGH_VOL,BTC,1.5355198816514911e-16,0.0,0.0,0.0,0.0,0.0,7,0.42857142857142855,,1.0,0.6933923074017628,
cost_stress,original,HIGH_VOL,ETH,2.910395749743638e-16,2.2198754125028977e-16,0.0,1.0,0.0,0.0,20,0.55,96.19087902232879,0.6625974533087237,0.8139359018944144,
cost_stress,original,HIGH_VOL,MIX,,,,,,,27,0.5185185185185185,,0.5861287129210053,0.7808585900744949,"equal initial capital, no sleeve rebalancing"
cost_stress,original,UNKNOWN,BTC,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
cost_stress,original,UNKNOWN,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
cost_stress,original,UNKNOWN,MIX,,,,,,,0,,,,1.0,"equal initial capital, no sleeve rebalancing"
cost_stress,past_gap_clean,ALL,BTC,2.3730403863514106e-16,7.944413202058661e-16,0.0,0.0,2.0,0.0,50,0.38,2.968529291713967,0.5440901463883818,0.41082379976827377,
cost_stress,past_gap_clean,ALL,ETH,4.582723097732868e-16,2.2194405932709957e-16,0.0,1.0,0.0,0.0,65,0.4307692307692308,56.71524383591913,0.40801019816416634,0.526880023188083,
cost_stress,past_gap_clean,ALL,MIX,,,,,,,115,0.40869565217391307,,0.32707822996706826,0.5067361381543787,"equal initial capital, no sleeve rebalancing"
cost_stress,past_gap_clean,TREND_UP,BTC,1.6694473091406104e-16,1.3495399189831703e-16,0.0,0.0,0.0,0.0,12,0.3333333333333333,16.82734619118491,1.0,0.8205584594044044,
cost_stress,past_gap_clean,TREND_UP,ETH,2.924537015430186e-16,2.244635169253141e-16,0.0,0.0,0.0,0.0,8,0.375,46.34688975327458,1.0,0.8902491735650148,
cost_stress,past_gap_clean,TREND_UP,MIX,,,,,,,20,0.35,,0.8889978691412511,0.8619664883457888,"equal initial capital, no sleeve rebalancing"
cost_stress,past_gap_clean,TREND_DOWN,BTC,1.0824655566399845e-16,0.0,0.0,0.0,0.0,0.0,15,0.4666666666666667,33.53238953224173,0.9419118637208072,0.8213733329926831,
cost_stress,past_gap_clean,TREND_DOWN,ETH,3.472668618474331e-16,2.2024433079978373e-16,0.0,0.0,0.0,0.0,14,0.35714285714285715,101.29193942128006,1.0,0.8428311187192304,
cost_stress,past_gap_clean,TREND_DOWN,MIX,,,,,,,29,0.41379310344827586,,0.835474223758737,0.854140800770075,"equal initial capital, no sleeve rebalancing"
cost_stress,past_gap_clean,RANGE,BTC,1.794824368626687e-16,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,18.681791133549993,1.0,0.9219054665586479,
cost_stress,past_gap_clean,RANGE,ETH,3.491184595053874e-16,0.0,0.0,0.0,0.0,0.0,1,1.0,552.7253895994414,1.0,1.0,
cost_stress,past_gap_clean,RANGE,MIX,,,,,,,4,0.5,,1.0,0.960952733279324,"equal initial capital, no sleeve rebalancing"
cost_stress,past_gap_clean,VOL_COMPRESSION,BTC,1.0949798589785149e-16,0.0,0.0,0.0,0.0,0.0,5,0.0,22.242282854097233,,0.948608517303579,
cost_stress,past_gap_clean,VOL_COMPRESSION,ETH,3.8636190114490143e-16,0.0,0.0,0.0,0.0,0.0,3,0.0,21.05115946738846,,0.968148175612533,
cost_stress,past_gap_clean,VOL_COMPRESSION,MIX,,,,,,,8,0.0,,,0.958378346458056,"equal initial capital, no sleeve rebalancing"
cost_stress,past_gap_clean,VOL_EXPANSION,BTC,3.8210763744583537e-16,0.0,0.0,0.0,1.0,0.0,9,0.5555555555555556,46.22351848325847,1.0,0.8556403015319716,
cost_stress,past_gap_clean,VOL_EXPANSION,ETH,1.799270838784056e-16,0.0,0.0,0.0,0.0,0.0,19,0.42105263157894735,,0.9325218631543154,0.5708557580936501,
cost_stress,past_gap_clean,VOL_EXPANSION,MIX,,,,,,,28,0.4642857142857143,,0.7214963977134341,0.7385864770909742,"equal initial capital, no sleeve rebalancing"
cost_stress,past_gap_clean,HIGH_VOL,BTC,1.5355198816514911e-16,0.0,0.0,0.0,0.0,0.0,7,0.42857142857142855,,1.0,0.6933923074017628,
