policy,family,profile,band,role,scenario,period,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
state_rule_vol40_band2,state_rule,0.40000000000000002,0.02,candidate,base,2020_2024_carry,2020-01-01,2024-12-31,730,1097,0.50322361473587662,1.2674440971836882,-0.38201968462046587,0.3783724666933328,1.3172714260413729,0.26481736411990053,7.6735580381737885,0.52938161038858578,8.251313572033439,0.024753828311163632,-0.2179759691739741,825
btc_buy_hold,btc_buy_hold,,0,benchmark,base,full,2018-01-03,2024-12-31,2,0,0.29898909439955013,0.72894713633333263,-0.81384865421875507,0.68774925561773281,0.36737677558312287,-0.20816570750619101,6.2284959859365516,0.99960861056750938,0.28559417674931276,0.00085678248392645256,-0.38812428745094485,1045
btc_buy_hold,btc_buy_hold,,0,benchmark,base,2018_2019,2018-01-03,2019-12-31,1,0,-0.30599944160234571,-0.088417008373773268,-0.81384865421875507,0.76945400010684495,-0.37599059728873846,-0.95612200819131732,0.48332560782546458,0.99999999999998912,0.50090443936416096,0.001502713318092483,-0.15459523917378981,724
btc_buy_hold,btc_buy_hold,,0,benchmark,base,2020_2021,2020-01-01,2021-12-31,0,0,1.5410962535360593,1.5937915150634747,-0.53168012202870463,0.7851502609127452,2.8985402870729438,0.32667442557557902,6.4489318589059561,0.99999999999999567,0,0,-0.38812428745094485,188
btc_buy_hold,btc_buy_hold,,0,benchmark,base,2022_2024,2022-01-01,2024-12-31,1,0,0.2597581436217804,0.69534440509432061,-0.66983013791382584,0.54544848459112372,0.38779703826225642,-0.0669965219865164,1.9982765643163953,0.99908759124087387,0.33356164383561626,0.0010006848234656845,-0.15417808941374911,769
btc_buy_hold,btc_buy_hold,,0,benchmark,base,2020_2024_carry,2020-01-01,2024-12-31,1,0,0.66747401507469606,1.116544501610381,-0.76670598287258107,0.65219660008907876,0.87057363576830682,0.090165920046814785,12.886749398525096,0.99945265462506538,0.20002738225629776,0.00060008208197969576,-0.38812428745094485,846
eth_buy_hold,eth_buy_hold,,0,benchmark,base,full,2018-01-03,2024-12-31,2,0,0.21289350925419459,0.66640658881803538,-0.94011630423803116,0.8809513428873722,0.22645443791845077,-0.57704112347435554,3.8559162742985156,0.99960861056750583,0.28559417674931264,0.00085675440247703493,-0.4332254252093839,1149
eth_buy_hold,eth_buy_hold,,0,benchmark,base,2018_2019,2018-01-03,2019-12-31,1,0,-0.61685388437778599,-0.50328756106990868,-0.94011630423803116,0.9655013415400866,-0.65614635295337109,-1.8842140761669961,0.1481566860113348,0.99999999999998079,0.50090443936416096,0.001502713318092483,-0.20274673299933132,717
eth_buy_hold,eth_buy_hold,,0,benchmark,base,2020_2021,2020-01-01,2021-12-31,0,0,4.3537184300511784,2.1536601942356555,-0.61469940964822523,1.0370070082266207,7.0826787234799626,0.62028541209438992,28.596545822311221,0.99999999999999079,0,0,-0.4332254252093839,166
eth_buy_hold,eth_buy_hold,,0,benchmark,base,2022_2024,2022-01-01,2024-12-31,1,0,-0.030930523364923856,0.29529897288677243,-0.74048740228840315,0.68325836046561161,-0.041770492339688874,-0.49849748865743837,0.91010764459437199,0.99908759124087387,0.33356164383561604,0.0010006193257288696,-0.17564174629941853,794
