policy,comparator,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
fixed_blend_vol40_band2,trend_vol40_band2,frictionless,2020_2024_carry,0.043830097712516558,0.009182386511871421,-0.1067550943783695,0.025916457765184808
fixed_blend_vol40_band2,allocation_vol40_band2,frictionless,2020_2024_carry,-0.029169106866215211,0.051444113221369658,0.11285585358702477,-0.044069744955583245
fixed_blend_vol40_band2,state_rule_vol40_band2,frictionless,2020_2024_carry,0.026975512102794363,0.010575363706983643,-0.10453081149806431,0.013879939469779778
state_rule_vol40_band2,trend_vol40_band2,frictionless,full,0.0099300375850197575,0.0047883578532265103,-0.0037881178886352007,0.0092072168771152318
state_rule_vol40_band2,allocation_vol40_band2,frictionless,full,0.020375942521555501,0.13853786618911046,0.24719365848367258,-0.075070270981373644
state_rule_vol40_band2,fixed_blend_vol40_band2,frictionless,full,0.0076233552441800079,0.051875447544938003,0.12010559058044501,-0.022427007913341457
state_rule_vol40_band2,trend_vol40_band2,frictionless,2018_2019,-0.0012764770372394318,-0.0041290201152348743,0.0022883126071286952,0.00036708536858376384
state_rule_vol40_band2,allocation_vol40_band2,frictionless,2018_2019,0.12452928053772438,0.20506583718465737,0.27649107022043118,-0.12475416058859357
state_rule_vol40_band2,fixed_blend_vol40_band2,frictionless,2018_2019,0.057338004154055877,0.12575086103090372,0.1494030023172036,-0.048596607826352556
state_rule_vol40_band2,trend_vol40_band2,frictionless,2020_2021,0.013219096861310842,0.0053762509322499152,-0.011887271025653789,0.0026328973193179839
state_rule_vol40_band2,allocation_vol40_band2,frictionless,2020_2021,-0.2018660472410061,-0.16359025952849149,-4.4408920985006262e-16,-0.0094371927753644225
state_rule_vol40_band2,fixed_blend_vol40_band2,frictionless,2020_2021,-0.093572071672087365,-0.085669586565235489,-0.0059941514829857656,-0.0023787461064512794
state_rule_vol40_band2,trend_vol40_band2,frictionless,2022_2024,0.017374956661113883,0.013382930551654293,-0.029004954813838468,0.021306752435535148
state_rule_vol40_band2,allocation_vol40_band2,frictionless,2022_2024,-0.0005247468318572146,0.094307921748569723,0.19402251691226369,-0.097561356859870607
state_rule_vol40_band2,fixed_blend_vol40_band2,frictionless,2022_2024,-0.0010051540521183178,0.028872437422645336,0.061474600382333766,-0.024263394529937921
state_rule_vol40_band2,trend_vol40_band2,frictionless,2020_2024_carry,0.016854585609722195,-0.0013929771951122216,-0.002224282880305184,0.01203651829540503
state_rule_vol40_band2,allocation_vol40_band2,frictionless,2020_2024_carry,-0.056144618969009574,0.040868749514386016,0.21738666508508908,-0.057949684425363024
state_rule_vol40_band2,fixed_blend_vol40_band2,frictionless,2020_2024_carry,-0.026975512102794363,-0.010575363706983643,0.10453081149806431,-0.013879939469779778
fixed_blend_vol20_exact,trend_vol20_exact,base,full,0.00012133656611834631,-0.025946364222562912,-0.050455453663646677,0.0076820813341320071
fixed_blend_vol20_exact,allocation_vol20_exact,base,full,0.0032964115407987382,0.062028458181635826,0.064688307416240765,-0.01633893420272603
fixed_blend_vol20_exact,state_rule_vol20_exact,base,full,-0.0077276294114587696,-0.057114523731223277,-0.052235377216236167,0.0068775150110491068
fixed_blend_vol20_exact,trend_vol20_exact,base,2018_2019,-0.015941195890231352,-0.067629758453803868,-0.050455453663646677,0.0097187618889015837
fixed_blend_vol20_exact,allocation_vol20_exact,base,2018_2019,0.018505500831064725,0.041792095922504713,0.064688307416240765,-0.0217403840287477
fixed_blend_vol20_exact,state_rule_vol20_exact,base,2018_2019,-0.015366516989003487,-0.064569237391654155,-0.052235377216236167,0.0095836481747837432
fixed_blend_vol20_exact,trend_vol20_exact,base,2020_2021,0.01734457960453617,0.04146473612331647,-0.0030733775930802398,0.00098625592938847428
fixed_blend_vol20_exact,allocation_vol20_exact,base,2020_2021,-0.015561222158462673,-0.032240779428275523,0.0031469834286393938,-0.0014047921741373592
fixed_blend_vol20_exact,state_rule_vol20_exact,base,2020_2021,0.010885390202639567,0.02934668994146028,0.0031469834286392828,0.00016724003718468494
fixed_blend_vol20_exact,trend_vol20_exact,base,2022_2024,0.0046551185170360387,-0.013034691099389484,-0.05352720325891358,0.01181555735342063
fixed_blend_vol20_exact,allocation_vol20_exact,base,2022_2024,-0.00023960497609709641,0.057358391187684377,0.067068542470217429,-0.023997144855033209
