year,asset,model,rows,dates,mse,mae,correlation
2020,QQQ,ridge1,53,53,0.0016621097054379604,0.03272440778681122,0.2928367176664932
2020,QQQ,ridge100,53,53,0.0016595290792410953,0.03266766377231672,0.2967446680468028
2020,QQQ,gbm2,53,53,0.001786001880020445,0.03427023912190476,0.14411422222698705
2020,QQQ,gbm3,53,53,0.00181261598431795,0.034561099419038156,0.09947327384489149
2020,QQQ,mlp16,53,53,0.0016430029072010916,0.03235112499710037,0.23638304855575812
2020,QQQ,mlp32,53,53,0.0018541807470093586,0.03564110772503905,0.28174706297126306
2020,QQQ,sequence16,53,53,0.0020077381928081447,0.03590059226319509,0.02952537586532095
2020,QQQ,sequence32,53,53,0.0018538261689939595,0.033580133770750406,0.165569387491454
2020,QQQ,selected,53,53,0.0016595290792410953,0.03266766377231672,0.2967446680468028
2020,QQQ,zero,53,53,0.0018136515578382317,0.03394988809890278,
2020,QQQ,past_mean,53,53,0.0017580383595951,0.033176658860611906,-1.8976386698598853e-17
2020,GLD,ridge1,53,53,0.001004537393863343,0.022240349557568928,0.34855706658798014
2020,GLD,ridge100,53,53,0.0010027291866008794,0.022235259906438886,0.35256114512261594
2020,GLD,gbm2,53,53,0.0009988554885521743,0.022253312692613866,0.1925410003023133
2020,GLD,gbm3,53,53,0.0010227416381732644,0.022517852856464644,0.11338332830520415
2020,GLD,mlp16,53,53,0.0010468945286766641,0.022276794722933924,0.04664211201380673
2020,GLD,mlp32,53,53,0.0013255329761037366,0.025890399766669098,0.04644619356285248
2020,GLD,sequence16,53,53,0.0011594729715429552,0.02556170472880632,-0.021207898395483416
2020,GLD,sequence32,53,53,0.0012520252876877293,0.027874547835307215,0.1178187521498557
2020,GLD,selected,53,53,0.0010027291866008794,0.022235259906438886,0.35256114512261594
2020,GLD,zero,53,53,0.0010388054805659129,0.02252201361300574,
2020,GLD,past_mean,53,53,0.0010328541414227354,0.022468071552214794,-2.4536442469075845e-17
