scenario,policy,period,observations,first_date,last_date,cagr,annualized_mean_return,annualized_volatility,excess_sharpe,calmar,max_drawdown,longest_underwater_sessions,worst_day,expected_shortfall_95,certainty_equivalent_gamma3,spy_beta,descriptive_alpha_annual,positive_day_fraction,annual_one_way_turnover,mean_gross_exposure,max_gross_exposure,mean_net_exposure,rebalances,annual_execution_drag,annual_funding_drag,annual_borrow_drag,pareto_cagr_sharpe_drawdown,role,family
base,sector_reversal_5_g150,2017_2024,2012,2017-01-03,2024-12-31,-0.0885449922204,-0.0894322691205,0.0822018888463,-1.33011784463,-0.16706592773,-0.530000302417,2002,-0.0460432527614,-0.0121428663788,-0.0995679949153,0.0246683983849,-0.112826201555,0.459741550696,107.630920427,1.48929004511,1.63361947709,-0.0299928466613,418,0.0538257045999,0.000177680672583,0.00761083217351,False,candidate,sector_reversal
base,spy_buy_hold,full,4154,2008-07-01,2024-12-31,0.11868499786,0.132285561573,0.199739009274,0.610298269944,0.251636607139,-0.471652353009,588,-0.10942372476,-0.0309343373525,0.0724420538342,0.999987379785,-5.96379319475e-05,0.55223880597,0.121154191484,0.999759268175,1,0.999759268175,2,6.06641384531e-05,0,0,True,benchmark,spy_buy_hold
base,spy_buy_hold,2008_2016,2142,2008-07-01,2016-12-30,0.092045819455,0.110913669832,0.213851606862,0.513355167901,0.195156069651,-0.471652353009,588,-0.098448053731,-0.0330291522064,0.0423149051956,0.999981307671,-5.75939914999e-05,0.549953314659,0.11757406321,1,1,1,1,5.8787031605e-05,0,0,True,benchmark,spy_buy_hold
base,spy_buy_hold,2017_2024,2012,2017-01-03,2024-12-31,0.147857445711,0.155038340952,0.183568427194,0.735276461438,0.438521391886,-0.337172709125,488,-0.10942372476,-0.0284378406708,0.104492289758,0.999996254405,-6.22983789463e-05,0.554671968191,0.125085616438,0.999502982107,1,0.999502982107,1,6.27224977609e-05,0,0,True,benchmark,spy_buy_hold
base,static_macro_g100,full,4154,2008-07-01,2024-12-31,0.0595724818204,0.0626234299617,0.096711064397,0.541492066728,0.274022118964,-0.217400266977,653,-0.050797614714,-0.014333570695,0.0485938849965,0.405119738542,0.00306464636329,0.548387096774,1.17675059406,0.985107806553,1,0.985107806553,200,0.000588776853528,9.24577804686e-17,0,True,control,static_macro
base,static_macro_g100,2008_2016,2142,2008-07-01,2016-12-30,0.0602924019094,0.0634416182182,0.0988454925421,0.630607558832,0.277333614847,-0.217400266977,304,-0.0385881529069,-0.0142630849822,0.0487859711243,0.392995381624,0.0195094557521,0.541083099907,1.14367535165,0.981710263553,1,0.981710263553,103,0.000572215782491,5.84237859768e-17,0,True,control,static_macro
base,static_macro_g100,2017_2024,2012,2017-01-03,2024-12-31,0.0588704354876,0.0617523766589,0.0944102270055,0.441563768819,0.271175551819,-0.217093447741,653,-0.050797614714,-0.0143102151135,0.048382440214,0.422878073156,-0.0154151505669,0.556163021869,1.2131303473,0.98872487271,1,0.98872487271,97,0.000606992078231,1.28743029181e-16,0,False,control,static_macro
base,static_macro_g150,full,4154,2008-07-01,2024-12-31,0.0673269012679,0.074436507588,0.135375105095,0.474424662413,0.223358715285,-0.301429479401,699,-0.0786738489805,-0.0199884745652,0.0469468789688,0.554083316358,-0.00334906156426,0.545498314877,1.81434392077,1.41699416676,1.65611558354,1.41699416676,200,0.000908116596932,0.0112192143253,0,False,control,static_macro
base,static_macro_g150,2008_2016,2142,2008-07-01,2016-12-30,0.0698954156581,0.0769498258313,0.136894777542,0.554615936992,0.231879827405,-0.301429479401,357,-0.0542979144101,-0.0196941493588,0.0488395556537,0.526264111006,0.0182986798215,0.538748832866,1.74505300202,1.40630740433,1.55099839866,1.40630740433,103,0.000873359822876,0.00715808191851,0,True,control,static_macro
base,static_macro_g150,2017_2024,2012,2017-01-03,2024-12-31,0.0646736894289,0.0717607980069,0.133772077232,0.386486535692,0.228585239302,-0.282930296053,699,-0.0786738489805,-0.0202157747412,0.0449183450363,0.594780007678,-0.028620090311,0.55268389662,1.88988889833,1.42837142576,1.65611558354,1.42837142576,97,0.000946008423382,0.0155491710945,0,False,control,static_macro
