policy,scenario,period,original_positive_day_fraction,corrected_positive_day_fraction
sector_reversal_10_g150,frictionless,full,0.489889263361,0.489889263361
sector_reversal_10_g150,frictionless,2008_2016,0.492063492063,0.492063492063
sector_reversal_10_g150,frictionless,2017_2024,0.487574552684,0.487574552684
sector_reversal_3_g100,frictionless,full,0.501925854598,0.501925854598
sector_reversal_3_g100,frictionless,2008_2016,0.498132586368,0.498132586368
sector_reversal_3_g100,frictionless,2017_2024,0.505964214712,0.505964214712
sector_reversal_3_g150,frictionless,full,0.498314877227,0.498314877227
sector_reversal_3_g150,frictionless,2008_2016,0.496265172736,0.496265172736
sector_reversal_3_g150,frictionless,2017_2024,0.500497017893,0.500497017893
sector_reversal_5_g100,frictionless,full,0.49085219066,0.49085219066
sector_reversal_5_g100,frictionless,2008_2016,0.491129785247,0.491129785247
sector_reversal_5_g100,frictionless,2017_2024,0.49055666004,0.49055666004
sector_reversal_5_g150,frictionless,full,0.487241213288,0.487241213288
sector_reversal_5_g150,frictionless,2008_2016,0.488795518207,0.488795518207
sector_reversal_5_g150,frictionless,2017_2024,0.485586481113,0.485586481113
spy_buy_hold,frictionless,full,0.55223880597,0.55223880597
spy_buy_hold,frictionless,2008_2016,0.549953314659,0.549953314659
spy_buy_hold,frictionless,2017_2024,0.554671968191,0.554671968191
static_macro_g100,frictionless,full,0.548627828599,0.548627828599
static_macro_g100,frictionless,2008_2016,0.541549953315,0.541549953315
static_macro_g100,frictionless,2017_2024,0.556163021869,0.556163021869
static_macro_g150,frictionless,full,0.548627828599,0.548627828599
static_macro_g150,frictionless,2008_2016,0.541549953315,0.541549953315
static_macro_g150,frictionless,2017_2024,0.556163021869,0.556163021869
trend_only_g100,frictionless,full,0.537313432836,0.537072701011
trend_only_g100,frictionless,2008_2016,0.524276377218,0.52380952381
trend_only_g100,frictionless,2017_2024,0.551192842942,0.551192842942
trend_only_g150,frictionless,full,0.53803562831,0.536109773712
trend_only_g150,frictionless,2008_2016,0.525676937442,0.52380952381
trend_only_g150,frictionless,2017_2024,0.551192842942,0.549204771372
trend_pullback_10_g100,frictionless,full,0.487000481464,0.482185844969
trend_pullback_10_g100,frictionless,2008_2016,0.416433239963,0.41223155929
trend_pullback_10_g100,frictionless,2017_2024,0.562127236581,0.556660039761
trend_pullback_10_g150,frictionless,full,0.484352431391,0.479537794896
trend_pullback_10_g150,frictionless,2008_2016,0.415966386555,0.410830999066
trend_pullback_10_g150,frictionless,2017_2024,0.557157057654,0.55268389662
trend_pullback_3_g100,frictionless,full,0.506259027443,0.500240731825
trend_pullback_3_g100,frictionless,2008_2016,0.443510737628,0.435574229692
trend_pullback_3_g100,frictionless,2017_2024,0.573061630219,0.569085487078
trend_pullback_3_g150,frictionless,full,0.502407318247,0.496148290804
trend_pullback_3_g150,frictionless,2008_2016,0.442577030812,0.434173669468
trend_pullback_3_g150,frictionless,2017_2024,0.566103379722,0.562127236581
trend_pullback_5_g100,frictionless,full,0.496870486278,0.493740972557
trend_pullback_5_g100,frictionless,2008_2016,0.4360410831,0.431839402428
trend_pullback_5_g100,frictionless,2017_2024,0.561630218688,0.559642147117
trend_pullback_5_g150,frictionless,full,0.49494463168,0.49037072701
trend_pullback_5_g150,frictionless,2008_2016,0.435574229692,0.430438842204
trend_pullback_5_g150,frictionless,2017_2024,0.558151093439,0.554174950298
