period,asset,model,rows,decision_dates,event_fraction,brier,brier_skill,log_loss
2021,pooled,past_frequency,156,52,0.14743589743589744,0.12375389461043276,0.0,0.41143954371777214
2021,SPY,logistic,52,52,0.057692307692307696,0.06414790559773667,-0.04810417192224503,0.26622241205250397
2021,SPY,gbm,52,52,0.057692307692307696,0.08698458716376688,-0.4212297011064836,0.3324016871120347
2021,SPY,past_frequency,52,52,0.057692307692307696,0.061203749890707974,0.0,0.25582196767977233
2021,QQQ,logistic,52,52,0.23076923076923078,0.17171580548592302,0.03854408078607574,0.5261904137432831
2021,QQQ,gbm,52,52,0.23076923076923078,0.17113472407304453,0.04179762033286494,0.5278948923806415
2021,QQQ,past_frequency,52,52,0.23076923076923078,0.1785997694270955,0.0,0.5434913978683247
2021,GLD,logistic,52,52,0.15384615384615385,0.13387085482586097,-0.01835329377444972,0.44721660810075625
2021,GLD,gbm,52,52,0.15384615384615385,0.12787438199445075,0.027261772080168,0.4216633346647782
2021,GLD,past_frequency,52,52,0.15384615384615385,0.13145816451349487,0.0,0.4350052656052194
2022,pooled,logistic,156,52,0.4166666666666667,0.3079335199768848,-0.011729109082776912,0.876524489831661
2022,pooled,gbm,156,52,0.4166666666666667,0.28721097040360904,0.056355737994825295,0.8017133305341193
2022,pooled,past_frequency,156,52,0.4166666666666667,0.30436360604080487,0.0,0.8553031177795021
2022,SPY,logistic,52,52,0.4230769230769231,0.3401872761443041,-0.016385467144636623,0.9945984871527832
2022,SPY,gbm,52,52,0.4230769230769231,0.3008345501625175,0.10118959102257863,0.8416507230577301
2022,SPY,past_frequency,52,52,0.4230769230769231,0.33470301095508853,0.0,0.9649774314481121
2022,QQQ,logistic,52,52,0.6538461538461539,0.43493207452608795,-0.0028240138087975986,1.1546966514158732
