period,asset,model,bin,lower,upper,rows,mean_probability,event_fraction
2019,pooled,gbm,3,0.6,0.8,0,,
2019,pooled,gbm,4,0.8,1.0,0,,
2019,pooled,past_frequency,0,0.0,0.2,156,0.14716981132075474,0.0641025641025641
2019,pooled,past_frequency,1,0.2,0.4,0,,
2019,pooled,past_frequency,2,0.4,0.6,0,,
2019,pooled,past_frequency,3,0.6,0.8,0,,
2019,pooled,past_frequency,4,0.8,1.0,0,,
2019,SPY,logistic,0,0.0,0.2,46,0.10649169399885834,0.06521739130434782
2019,SPY,logistic,1,0.2,0.4,6,0.23207616739271045,0.0
2019,SPY,logistic,2,0.4,0.6,0,,
2019,SPY,logistic,3,0.6,0.8,0,,
2019,SPY,logistic,4,0.8,1.0,0,,
2019,SPY,gbm,0,0.0,0.2,46,0.11051694305878396,0.06521739130434782
2019,SPY,gbm,1,0.2,0.4,6,0.25058530225907644,0.0
2019,SPY,gbm,2,0.4,0.6,0,,
2019,SPY,gbm,3,0.6,0.8,0,,
2019,SPY,gbm,4,0.8,1.0,0,,
2019,SPY,past_frequency,0,0.0,0.2,52,0.11981132075471702,0.057692307692307696
2019,SPY,past_frequency,1,0.2,0.4,0,,
2019,SPY,past_frequency,2,0.4,0.6,0,,
2019,SPY,past_frequency,3,0.6,0.8,0,,
2019,SPY,past_frequency,4,0.8,1.0,0,,
2019,QQQ,logistic,0,0.0,0.2,29,0.12722453132908373,0.1724137931034483
2019,QQQ,logistic,1,0.2,0.4,23,0.2800690215755236,0.08695652173913043
2019,QQQ,logistic,2,0.4,0.6,0,,
2019,QQQ,logistic,3,0.6,0.8,0,,
2019,QQQ,logistic,4,0.8,1.0,0,,
2019,QQQ,gbm,0,0.0,0.2,41,0.13182284535770986,0.14634146341463414
2019,QQQ,gbm,1,0.2,0.4,10,0.24462306357627397,0.1
2019,QQQ,gbm,2,0.4,0.6,1,0.40358798882610347,0.0
2019,QQQ,gbm,3,0.6,0.8,0,,
2019,QQQ,gbm,4,0.8,1.0,0,,
2019,QQQ,past_frequency,0,0.0,0.2,52,0.18867924528301888,0.1346153846153846
2019,QQQ,past_frequency,1,0.2,0.4,0,,
2019,QQQ,past_frequency,2,0.4,0.6,0,,
2019,QQQ,past_frequency,3,0.6,0.8,0,,
2019,QQQ,past_frequency,4,0.8,1.0,0,,
2019,GLD,logistic,0,0.0,0.2,42,0.10450822045485038,0.0
2019,GLD,logistic,1,0.2,0.4,10,0.22403264888942775,0.0
2019,GLD,logistic,2,0.4,0.6,0,,
2019,GLD,logistic,3,0.6,0.8,0,,
2019,GLD,logistic,4,0.8,1.0,0,,
2019,GLD,gbm,0,0.0,0.2,46,0.11489085842274616,0.0
2019,GLD,gbm,1,0.2,0.4,6,0.3514280229948002,0.0
2019,GLD,gbm,2,0.4,0.6,0,,
2019,GLD,gbm,3,0.6,0.8,0,,
2019,GLD,gbm,4,0.8,1.0,0,,
2019,GLD,past_frequency,0,0.0,0.2,52,0.13301886792452833,0.0
2019,GLD,past_frequency,1,0.2,0.4,0,,
2019,GLD,past_frequency,2,0.4,0.6,0,,
2019,GLD,past_frequency,3,0.6,0.8,0,,
2019,GLD,past_frequency,4,0.8,1.0,0,,
2020,pooled,logistic,0,0.0,0.2,92,0.10801616521186261,0.17391304347826086
2020,pooled,logistic,1,0.2,0.4,51,0.2762039125361684,0.23529411764705882
2020,pooled,logistic,2,0.4,0.6,6,0.49542452417858573,0.3333333333333333
2020,pooled,logistic,3,0.6,0.8,5,0.7390822686316864,0.2
2020,pooled,logistic,4,0.8,1.0,5,0.8558925858602215,0.0
2020,pooled,gbm,0,0.0,0.2,74,0.13234111191379838,0.16216216216216217
2020,pooled,gbm,1,0.2,0.4,84,0.27411080845789776,0.2261904761904762
2020,pooled,gbm,2,0.4,0.6,1,0.42276327357396976,0.0
2020,pooled,gbm,3,0.6,0.8,0,,
2020,pooled,gbm,4,0.8,1.0,0,,
2020,pooled,past_frequency,0,0.0,0.2,159,0.140605136028477,0.1949685534591195
2020,pooled,past_frequency,1,0.2,0.4,0,,
2020,pooled,past_frequency,2,0.4,0.6,0,,
2020,pooled,past_frequency,3,0.6,0.8,0,,
2020,pooled,past_frequency,4,0.8,1.0,0,,
2020,SPY,logistic,0,0.0,0.2,35,0.11513456963830503,0.22857142857142856
2020,SPY,logistic,1,0.2,0.4,12,0.26283289937896853,0.16666666666666666
2020,SPY,logistic,2,0.4,0.6,1,0.4743574412758553,0.0
2020,SPY,logistic,3,0.6,0.8,3,0.707816749013356,0.3333333333333333
2020,SPY,logistic,4,0.8,1.0,2,0.8389831883630463,0.0
2020,SPY,gbm,0,0.0,0.2,30,0.13712211604087032,0.16666666666666666
2020,SPY,gbm,1,0.2,0.4,23,0.2685447526045933,0.2608695652173913
2020,SPY,gbm,2,0.4,0.6,0,,
2020,SPY,gbm,3,0.6,0.8,0,,
2020,SPY,gbm,4,0.8,1.0,0,,
2020,SPY,past_frequency,0,0.0,0.2,53,0.12128146453089245,0.20754716981132076
2020,SPY,past_frequency,1,0.2,0.4,0,,
2020,SPY,past_frequency,2,0.4,0.6,0,,
2020,SPY,past_frequency,3,0.6,0.8,0,,
2020,SPY,past_frequency,4,0.8,1.0,0,,
2020,QQQ,logistic,0,0.0,0.2,13,0.10779736946197957,0.0
2020,QQQ,logistic,1,0.2,0.4,30,0.2828689010882883,0.26666666666666666
2020,QQQ,logistic,2,0.4,0.6,5,0.4996379407591318,0.4
2020,QQQ,logistic,3,0.6,0.8,2,0.7859805480591818,0.0
2020,QQQ,logistic,4,0.8,1.0,3,0.867165517525005,0.0
2020,QQQ,gbm,0,0.0,0.2,9,0.16868502003155553,0.0
2020,QQQ,gbm,1,0.2,0.4,43,0.2816005542230934,0.23255813953488372
2020,QQQ,gbm,2,0.4,0.6,1,0.42276327357396976,0.0
2020,QQQ,gbm,3,0.6,0.8,0,,
2020,QQQ,gbm,4,0.8,1.0,0,,
2020,QQQ,past_frequency,0,0.0,0.2,53,0.19298245614035087,0.18867924528301888
2020,QQQ,past_frequency,1,0.2,0.4,0,,
2020,QQQ,past_frequency,2,0.4,0.6,0,,
2020,QQQ,past_frequency,3,0.6,0.8,0,,
2020,QQQ,past_frequency,4,0.8,1.0,0,,
2020,GLD,logistic,0,0.0,0.2,44,0.10241844225329431,0.18181818181818182
2020,GLD,logistic,1,0.2,0.4,9,0.2718153015720349,0.2222222222222222
2020,GLD,logistic,2,0.4,0.6,0,,
2020,GLD,logistic,3,0.6,0.8,0,,
2020,GLD,logistic,4,0.8,1.0,0,,
2020,GLD,gbm,0,0.0,0.2,35,0.11889753200317063,0.2
2020,GLD,gbm,1,0.2,0.4,18,0.2633308204980417,0.16666666666666666
2020,GLD,gbm,2,0.4,0.6,0,,
2020,GLD,gbm,3,0.6,0.8,0,,
2020,GLD,gbm,4,0.8,1.0,0,,
2020,GLD,past_frequency,0,0.0,0.2,53,0.10755148741418769,0.18867924528301888
2020,GLD,past_frequency,1,0.2,0.4,0,,
2020,GLD,past_frequency,2,0.4,0.6,0,,
2020,GLD,past_frequency,3,0.6,0.8,0,,
2020,GLD,past_frequency,4,0.8,1.0,0,,
2021,pooled,logistic,0,0.0,0.2,124,0.13465577559593211,0.11290322580645161
2021,pooled,logistic,1,0.2,0.4,32,0.24099217579663212,0.28125
2021,pooled,logistic,2,0.4,0.6,0,,
2021,pooled,logistic,3,0.6,0.8,0,,
2021,pooled,logistic,4,0.8,1.0,0,,
2021,pooled,gbm,0,0.0,0.2,89,0.15434075975949596,0.1348314606741573
2021,pooled,gbm,1,0.2,0.4,67,0.265402078462643,0.16417910447761194
2021,pooled,gbm,2,0.4,0.6,0,,
2021,pooled,gbm,3,0.6,0.8,0,,
2021,pooled,gbm,4,0.8,1.0,0,,
2021,pooled,past_frequency,0,0.0,0.2,156,0.1520952988725803,0.14743589743589744
2021,pooled,past_frequency,1,0.2,0.4,0,,
2021,pooled,past_frequency,2,0.4,0.6,0,,
2021,pooled,past_frequency,3,0.6,0.8,0,,
2021,pooled,past_frequency,4,0.8,1.0,0,,
2021,SPY,logistic,0,0.0,0.2,50,0.15271946751890975,0.06
2021,SPY,logistic,1,0.2,0.4,2,0.2267753829804131,0.0
2021,SPY,logistic,2,0.4,0.6,0,,
2021,SPY,logistic,3,0.6,0.8,0,,
2021,SPY,logistic,4,0.8,1.0,0,,
2021,SPY,gbm,0,0.0,0.2,24,0.15399503908631754,0.125
2021,SPY,gbm,1,0.2,0.4,28,0.2628231539506458,0.0
2021,SPY,gbm,2,0.4,0.6,0,,
2021,SPY,gbm,3,0.6,0.8,0,,
2021,SPY,gbm,4,0.8,1.0,0,,
2021,SPY,past_frequency,0,0.0,0.2,52,0.14039566049776644,0.057692307692307696
2021,SPY,past_frequency,1,0.2,0.4,0,,
2021,SPY,past_frequency,2,0.4,0.6,0,,
2021,SPY,past_frequency,3,0.6,0.8,0,,
2021,SPY,past_frequency,4,0.8,1.0,0,,
2021,QQQ,logistic,0,0.0,0.2,22,0.1612169652544636,0.13636363636363635
2021,QQQ,logistic,1,0.2,0.4,30,0.2419399619843801,0.3
2021,QQQ,logistic,2,0.4,0.6,0,,
2021,QQQ,logistic,3,0.6,0.8,0,,
2021,QQQ,logistic,4,0.8,1.0,0,,
2021,QQQ,gbm,0,0.0,0.2,22,0.1668634480637904,0.13636363636363635
2021,QQQ,gbm,1,0.2,0.4,30,0.2770271409919354,0.3
2021,QQQ,gbm,2,0.4,0.6,0,,
2021,QQQ,gbm,3,0.6,0.8,0,,
2021,QQQ,gbm,4,0.8,1.0,0,,
2021,QQQ,past_frequency,0,0.0,0.2,52,0.19783024888321632,0.23076923076923078
2021,QQQ,past_frequency,1,0.2,0.4,0,,
2021,QQQ,past_frequency,2,0.4,0.6,0,,
2021,QQQ,past_frequency,3,0.6,0.8,0,,
2021,QQQ,past_frequency,4,0.8,1.0,0,,
2021,GLD,logistic,0,0.0,0.2,52,0.10604941466061336,0.15384615384615385
2021,GLD,logistic,1,0.2,0.4,0,,
2021,GLD,logistic,2,0.4,0.6,0,,
2021,GLD,logistic,3,0.6,0.8,0,,
2021,GLD,logistic,4,0.8,1.0,0,,
2021,GLD,gbm,0,0.0,0.2,43,0.14812676332837518,0.13953488372093023
2021,GLD,gbm,1,0.2,0.4,9,0.23467519073565946,0.2222222222222222
2021,GLD,gbm,2,0.4,0.6,0,,
2021,GLD,gbm,3,0.6,0.8,0,,
2021,GLD,gbm,4,0.8,1.0,0,,
2021,GLD,past_frequency,0,0.0,0.2,52,0.1180599872367581,0.15384615384615385
2021,GLD,past_frequency,1,0.2,0.4,0,,
2021,GLD,past_frequency,2,0.4,0.6,0,,
2021,GLD,past_frequency,3,0.6,0.8,0,,
2021,GLD,past_frequency,4,0.8,1.0,0,,
2022,pooled,logistic,0,0.0,0.2,120,0.12841096052953177,0.375
