asset,timeframe,year,candidate,benchmark,metric,candidate_loss,benchmark_loss,relative_improvement
BTC,4,2023,boosted_augmented,linear_augmented,log_variance_mse,1.2370806414667466,1.2242980471086216,-0.010440753694178628
BTC,4,2023,boosted_augmented,linear_augmented,variance_qlike,0.6555282461933644,0.613359326977659,-0.06875075891238747
BTC,4,2023,linear_augmented,linear_volatility,log_variance_mse,1.2242980471086216,1.285655907532514,0.04772494729297605
BTC,4,2023,linear_augmented,linear_volatility,variance_qlike,0.613359326977659,0.6528887968410609,0.06054548654328484
BTC,4,2023,boosted_augmented,boosted_volatility,log_variance_mse,1.2370806414667466,1.3078634201306862,0.05412092545326086
BTC,4,2023,boosted_augmented,boosted_volatility,variance_qlike,0.6555282461933644,0.6607496477443292,0.0079022388718476
BTC,4,2023,boosted_augmented,ewma_calibrated,log_variance_mse,1.2370806414667466,1.3087932853867696,0.054792949139275904
BTC,4,2023,boosted_augmented,ewma_calibrated,variance_qlike,0.6555282461933644,0.6649800967359313,0.01421373449966623
BTC,4,2024,boosted_volatility,linear_volatility,log_variance_mse,0.9130182339330593,0.9231864856084475,0.011014298664355548
BTC,4,2024,boosted_volatility,linear_volatility,variance_qlike,0.46322236175621445,0.4718882650541558,0.018364311935044286
BTC,4,2024,boosted_augmented,linear_augmented,log_variance_mse,0.9230530703259057,0.9017091912770483,-0.023670468544996215
BTC,4,2024,boosted_augmented,linear_augmented,variance_qlike,0.4970156979302386,0.4970359361407298,4.0717801308987056e-05
BTC,4,2024,linear_augmented,linear_volatility,log_variance_mse,0.9017091912770483,0.9231864856084475,0.023264307554550112
BTC,4,2024,linear_augmented,linear_volatility,variance_qlike,0.4970359361407298,0.4718882650541558,-0.05329157969988496
BTC,4,2024,boosted_augmented,boosted_volatility,log_variance_mse,0.9230530703259057,0.9130182339330593,-0.010990838977682715
BTC,4,2024,boosted_augmented,boosted_volatility,variance_qlike,0.4970156979302386,0.46322236175621445,-0.0729527306192721
BTC,4,2024,boosted_augmented,ewma_calibrated,log_variance_mse,0.9230530703259057,0.9368207641390434,0.014696187723582832
BTC,4,2024,boosted_augmented,ewma_calibrated,variance_qlike,0.4970156979302386,0.48743541407935287,-0.019654468210892118
BTC,4,2025,boosted_volatility,linear_volatility,log_variance_mse,0.9132658300936625,0.9105906620180536,-0.0029378382485059085
BTC,4,2025,boosted_volatility,linear_volatility,variance_qlike,0.40839636423519377,0.4099518653933382,0.0037943507261565257
BTC,4,2025,boosted_augmented,linear_augmented,log_variance_mse,0.8759722307483746,0.8655651547512475,-0.012023446114946656
BTC,4,2025,boosted_augmented,linear_augmented,variance_qlike,0.45465244755329676,0.4214683331825756,-0.07873453770569805
BTC,4,2025,linear_augmented,linear_volatility,log_variance_mse,0.8655651547512475,0.9105906620180536,0.049446484732251106
BTC,4,2025,linear_augmented,linear_volatility,variance_qlike,0.4214683331825756,0.4099518653933382,-0.02809224389840903
BTC,4,2025,boosted_augmented,boosted_volatility,log_variance_mse,0.8759722307483746,0.9132658300936625,0.04083542613377211
BTC,4,2025,boosted_augmented,boosted_volatility,variance_qlike,0.45465244755329676,0.40839636423519377,-0.11326272065307696
BTC,4,2025,boosted_augmented,ewma_calibrated,log_variance_mse,0.8759722307483746,0.9154795301654284,0.043154760008576876
BTC,4,2025,boosted_augmented,ewma_calibrated,variance_qlike,0.45465244755329676,0.4165948568901537,-0.09135396184974498
BTC,4,all,boosted_volatility,linear_volatility,log_variance_mse,0.9159517426255552,0.8958989157128298,-0.022382912358779095
BTC,4,all,boosted_volatility,linear_volatility,variance_qlike,0.5997315626068462,0.5549780968077861,-0.08064005779053351
BTC,4,all,boosted_augmented,linear_augmented,log_variance_mse,0.879446728342385,0.8821646476023582,0.0030809659708765924
BTC,4,all,boosted_augmented,linear_augmented,variance_qlike,0.5657340162578002,0.5466228848337458,-0.034962186828066955
BTC,4,all,linear_augmented,linear_volatility,log_variance_mse,0.8821646476023582,0.8958989157128298,0.015330153736756946
BTC,4,all,linear_augmented,linear_volatility,variance_qlike,0.5466228848337458,0.5549780968077861,0.015055030139205838
BTC,4,all,boosted_augmented,boosted_volatility,log_variance_mse,0.879446728342385,0.9159517426255552,0.03985473533630646
BTC,4,all,boosted_augmented,boosted_volatility,variance_qlike,0.5657340162578002,0.5997315626068462,0.05668793918610737
BTC,4,all,boosted_augmented,ewma_calibrated,log_variance_mse,0.879446728342385,0.9060244705434618,0.02933446398543149
BTC,4,all,boosted_augmented,ewma_calibrated,variance_qlike,0.5657340162578002,0.5656875330389952,-8.217119185083277e-05
ETH,1,2020,boosted_volatility,linear_volatility,log_variance_mse,0.6781711343626607,0.6594626652139705,-0.02836926203035328
ETH,1,2020,boosted_volatility,linear_volatility,variance_qlike,0.5373796771691199,0.505606222460543,-0.06284229366076777
ETH,1,2020,boosted_augmented,linear_augmented,log_variance_mse,0.6470918321190057,0.6399648818506996,-0.011136470875864113
